# ThAr line list for LR; ACS Jun 2016
# lambda line
6261.4181 ThI
6265.6036 ThI
6266.1737 ThII
6271.5444 ThI
6274.1166 ThII
6276.1646 ThI
6277.2385 ThII
6285.2780 ThII
6287.2554 ThI
6291.1915 ThI
6292.8909 ThI
6293.2424 ThI
6296.8722 ArI
6300.9165 ThI
6303.2507 ThI
6307.6570 ArI
6309.1600 ArI
6310.8101 ThI
6315.7750 ThI
6317.1824 ThI
6324.3978 ThI
6326.3669 ThI
6327.2778 ThI
6331.4137 ThI
6333.1459 ArII
6337.6201 ThI
6339.6684 ThI
6342.8595 ThI
6348.7375 ThI
6355.9108 ThI
6357.0229 ArII
6358.6211 ThII
6364.8937 ArI
6369.5748 ArI
6371.9436 ThI
6376.9305 ThI
6384.7169 ArI
6387.3957 ThI
6388.4179 ThI
6399.2065 ArII
6400.6961 ThI
6403.0128 ArII
6406.4462 ThI
6408.9035 ArII
6411.8991 ThI
6413.6145 ThI
6416.3071 ArI
6422.8969 ArII
6431.5550 ArI
6437.7613 ThI
6438.9160 ThI
6441.8994 ArII
6443.8598 ArII
6446.7712 ThI
6450.0060 ThI
6457.2824 ThI
6466.5526 ArI
6471.2131 ThII
6483.0825 ArII
6488.8832 ThI
6490.7372 ThI
6493.1975 ThI
6501.9919 ThI
6506.9868 ThI
6508.3605 ThI
6509.0503 ThI
6512.3639 ThI
6522.0432 ThI
6531.3418 ThI
6538.1120 ArI
6551.7055 ThI
6554.1603 ThI
6558.8756 ThI
6564.4445 ThI
6569.6322 ThII
6576.1221 ThI
6577.2146 ThI
6583.9060 ThI
6588.5396 ThI
6591.4845 ThI
6593.9391 ThI
6596.1141 ArI
6598.6778 ArI
6599.4824 Th
6604.8534 ArI
6613.3740 ThI
6618.1668 ThI
6619.9458 ThII
6620.9665 ArII
6632.0837 ArI
6638.2207 ArI
6638.9119 ThI
6639.7403 ArI
6643.6976 ArII
6644.6635 Th
6646.5407 ThII
6654.3675 Th
6656.9386 ArI
6658.6774 ThI
6660.6761 ArI
6662.2686 ThI
6664.0510 ArI
6666.3588 ArII
6668.8163 ThI
6674.6969 ThI
6677.2817 ArI
6678.7067 ThI
6683.3673 ThI
6684.2929 ArI
6692.7262 ThII
6696.1400 ThI
6697.7123 ThI
6698.874  ArI 
6711.2521 ThI
6713.9700 ThI
6717.3851 ThI
6719.1995 ThI
6727.4583 ThI
6733.7488 ThI
6738.1800 ThI
6742.8845 ThI
6752.8335 ArI
6756.4528 ThI
6766.6117 ArI
6772.1745 ThI
6778.3123 ThI
6780.1252 ThI
6787.7364 ThI
6788.8403 ThI
6791.2351 ThI
6808.5311 ArII
6809.3173 ThI
6823.5084 ThI
6824.6774 ThI
6827.2488 ArI
6829.0355 ThI
6834.9246 ThI
6846.4790 Th
6851.8842 ArI
6854.1093 ThI
6861.2688 ArII
6866.3666 ThI
6866.7634 ThI
6868.4508 ThI
6871.2891 ArI
6874.7530 ThI
6879.5824 ArI
6882.8114 ThI
6887.0881 ArI
6888.1742 ArI
6889.3032 ThII
6909.8491 ThII
6911.2264 ThI
6916.1289 ThI
6925.0094 ArI
6937.6642 ArI
6942.5380 ThI
6943.6105 ThI
6945.4902 ThI
6948.2052 ThI
6951.4776 ArI
6954.6560 ThI
6960.2500 ArI
6965.4307 ArI
6965.938  ThI 
6989.6553 ThI
6992.2126 ArI
7000.8036 ThI
7002.8829 ThI
7015.3172 ThI
7018.5675 ThI
7025.2251 ArI
7030.2514 ArI
7036.2831 ThI
