#INFO	-ref=VIZ5b6c970a1bd80	
#Name: J/A+A/468/1115/table1
#Title: Thorium and argon line list
#Column	Lambda	(F11.6)	Vacuum wavelength	[ucd=em.wl]
#Column	e_Lambda	(F9.6)	Uncertainty on wavelength	[ucd=stat.error]
#Column	Intensity	(I7)	Line peak intensity (in e^-^)	[ucd=phot.flux.density]
#Column	preLambda	(F11.6)	Unkwn Previously-known wavelength	[ucd=em.wl]
#Column	ID	(a6)	Line identification (1)	[ucd=phys.atmol.ionStage]
Name,Obs_Wave,Obs_Unc,Rel_Intensity,Matched_Wave
ThII,3944.510363,0.000124,8892,3944.510426
ThI,3944.575833,0.000124,9340,3944.576087
ThI,3944.720956,0.000123,11490,3944.721746
ThII,3944.806641,0.000127,4537,3944.806601
Contam,3945.122849,0.000116,3706,3945.123319
NoID,3946.253144,0.000113,6359,3946.251907
ThI,3946.322802,0.000122,2516,3946.324089
ThII,3946.624094,0.000112,10683,3946.623948
ThII,3946.937116,0.000112,8014,3946.936953
ArII,3947.214113,0.000111,333084,3947.213753
ThII,3947.265269,0.000212,20099,3947.262411
ThI,3947.508896,0.000110,54854,3947.509119
ThI,3947.599393,0.000111,10746,3947.600156
NoID,3948.252874,0.000111,7610,3948.253604
ThI,3948.447816,0.000110,42687,3948.448067
ArI,3948.621868,0.000109,92509,3948.621610
NoID,3948.769495,0.000132,908,3948.768114
NoID,3948.915323,0.000115,2385,3948.914972
ThI,3949.147860,0.000109,323650,3949.147912
ThI,3949.251817,0.000109,30187,3949.251939
Unkwn,3950.587276,0.000121,1225,
ThI,3951.513412,0.000107,591464,3951.513116
ThI,3951.923063,0.000107,12853,3951.923116
ThII,3952.225649,0.000118,1536,3952.226685
Unkwn,3952.279358,0.000247,233,
NoID,3953.977784,0.000109,3443,3953.979084
NoID,3954.456766,0.000108,3324,3954.456743
NoID,3954.563395,0.000111,1930,3954.563630
NoID,3954.796507,0.000113,1587,3954.797519
ThI,3955.188955,0.000119,3184,3955.187019
ThI,3955.248854,0.000166,2474,3955.249891
NoID,3955.846991,0.000111,1768,3955.845924
Unkwn,3956.046905,0.000129,788,
ThI,3956.288931,0.000130,24868,3956.289161
ThII,3956.375218,0.000136,688,3956.373231
ThI,3957.010288,0.000129,28610,3957.009733
ThI,3957.124202,0.000132,7398,3957.124399
NoID,3957.223984,0.000118,1170,3957.224226
Unkwn,3957.299132,0.000119,1114,
NoID,3957.601412,0.000132,6588,3957.602270
ThII,3957.712496,0.000131,9848,3957.713212
ThII,3957.809861,0.000128,34718,3957.810469
ThII,3958.177025,0.000217,1193,3958.175166
ThII,3958.274800,0.000120,1156,3958.277021
Unkwn,3958.722388,0.007921,685,
NoID,3958.751433,0.001903,986,3958.748996
Unkwn,3958.918118,0.000134,722,
NoID,3959.357615,0.000138,1908,3959.357277
ArII,3959.499705,0.000134,4604,3959.499954
ThI,3960.047561,0.000135,2822,3960.049139
ThII,3960.341723,0.000122,1170,3960.342069
ThI,3960.420280,0.000127,60642,3960.420351
NoID,3960.721325,0.000136,2190,3960.721164
ThI,3961.389115,0.000132,7023,3961.389839
Unkwn,3961.610301,0.000152,1766,
Unkwn,3962.835554,0.000136,857,
Unkwn,3963.219737,0.000142,1554,
ThI,3963.540591,0.000131,21014,3963.540736
ThII,3964.341753,0.000139,1801,3964.341258
ThI,3965.151541,0.000132,11975,3965.151851
Unkwn,3965.450844,0.000137,2752,
Unkwn,3965.572478,0.000171,677,
NoID,3965.850115,0.000119,6420,3965.847533
ThII,3965.988525,0.000142,1721,3965.986950
Unkwn,3966.604863,0.000149,1161,
Unkwn,3967.174990,0.000180,540,
