Row,Name,Intensity,Wavelength Ang,Stage,Comment
39269,Thorium,11,8062.64,I,
39270,Thorium,5,8085.220,I,
39271,Thorium,5,8093.626,I,
39272,Thorium,50,8105.14,III,
39273,Thorium,5,8129.407,I,
39274,Thorium,11,8138.477,I,
39275,Thorium,18,8143.139,I,
39276,Thorium,12,8159.729,I,
39277,Thorium,10,8163.125,II,
39278,Thorium,7,8169.788,I,
39279,Thorium,15,8186.914,I,
39280,Thorium,12,8203.199,II,
39281,Thorium,2,8231.408,I,
39282,Thorium,5,8252.395,I,
39283,Thorium,3,8259.512,I,
39284,Thorium,18,8275.629,I,
39285,Thorium,3,8292.529,I,
39286,Thorium,15,8320.857,I,
39287,Thorium,30,8330.451,I,yes
39288,Thorium,4,8358.726,I,
39289,Thorium,6,8387.104,II,
39290,Thorium,18,8403.767,II,
39291,Thorium,15,8416.729,I,
39292,Thorium,12,8421.227,I,
39293,Thorium,21,8446.509,I,
39294,Thorium,5,8464.230,I,
39295,Thorium,18,8478.360,I,
39296,Thorium,5,8510.621,I,
39297,Thorium,5,8516.557,I,
39298,Thorium,5,8539.795,I,
39299,Thorium,6,8554.946,I,
39300,Thorium,11,8573.122,I,
39301,Thorium,12,8591.838,I,
39302,Thorium,3,8621.325,I,
39303,Thorium,3,8638.363,I,
39304,Thorium,10,8665.487,I,
39305,Thorium,4,8668.116,I,
39306,Thorium,2,8701.127,I,
39307,Thorium,5,8709.236,I,
39308,Thorium,8,8732.401,II,
39309,Thorium,18,8748.033,I,
39310,Thorium,15,8758.244,I,
39311,Thorium,8,8775.573,I,
39312,Thorium,4,8792.058,I,
39313,Thorium,3,8804.590,I,
39314,Thorium,5,8841.185,I,
39315,Thorium,18,8842.073,II,
39316,Thorium,15,8868.834,I,
39317,Thorium,4,8875.233,I,
39318,Thorium,2,8907.038,I,
39319,Thorium,5,8955.848,I,
39320,Thorium,15,8957.97,II,
39321,Thorium,40,8967.641,I,yes
39322,Thorium,3,8987.408,I,
39323,Thorium,5,9031.819,I,
39324,Thorium,25,9048.252,I,
39325,Thorium,5,9063.953,I,
39326,Thorium,6,9094.831,I,
39327,Thorium,3,9107.225,I,
39328,Thorium,2,9118.140,I,
39329,Thorium,3,9170.825,I,
39330,Thorium,10,9203.963,I,
39331,Thorium,10,9266.208,I,
39332,Thorium,10,9276.276,I,
39333,Thorium,10,9289.563,I,
39334,Thorium,4,9317.722,I,
39335,Thorium,7,9340.706,I,
39336,Thorium,15,9399.085,I,
39337,Thorium,10,9431.603,I,
39338,Thorium,15,9461.030,I,
39339,Thorium,15,9474.882,I,
39340,Thorium,15,9495.501,I,
39341,Thorium,15,9497.191,I,
