Wavelength,flag,Linetype
5376.7809,m,ThI
5379.1105,a,ThI
5382.9276,a,ThII
5384.0356,m,ThII
5386.6107,a,ThI
5390.467,a,ThII
5392.5726,m,ThII
5394.7608,a,ThI
5397.5160,a,ArII
5399.1745,a,Th
5402.6048,a,ArII
5407.6535,a,ThI
5410.7687,a,ThI
5415.5226,a,ThI
5417.4858,a,ThI
5421.3517,m,ArI
5421.6628,m,ThI
5424.0079,a,ThI
5425.6783,a,ThII
5431.1120,a,ThI
5434.1514,m,ThI
5435.7236,m,ThII
5439.9891,a,ArI
5449.4788,m,ThII
5450.5104,m,ThI
5451.6520,a,ArI
5457.416,a,ArI
5459.651,a,ArI
5464.2055,a,ThI
5470.7591,m,ThI
5473.451,a,ArI
5488.6287,m,ThII
5492.332,a,ThI
5492.6435,a,ThI
5499.2554,a,ThI
5501.2814,m,ThI
5504.3018,a,ThI
5509.9938,a,ThI
5514.8731,a,ThI
5615.3195,a,ThI
5635.8792,a,ThI
5639.7461,m,ThII
5641.5575,a,ThI
5645.5249,m,ThI
5648.6863,a,ArI
5650.7043,a,ArI
5657.9255,m,ThI
5659.1272,a,ArI
5665.1799,a,ThI
5667.1281,m,ThI
5674.9864,m,ThI
5677.0529,a,ThI
5681.9001,a,ArI
5685.1921,m,ThI
5687.3489,m,ThI
5691.6612,a,ArII
5700.9176,a,ThII
5707.1033,a,ThII
5719.6227,m,ThI
5720.1828,a,ThI
5725.3885,a,ThI
5732.9750,m,ThII
5739.5196,a,ArI
5741.8290,a,ThI
5748.7412,a,ThI
5749.3883,m,ThII
5749.7862,m,ThI
5753.0265,a,ThI
5760.5508,a,ThI
5763.5290,a,ThI
5768.1812,a,ThI
5772.1143,a,ArI
5774.008,a,ArI
5777.4006,m,ThI
5782.3139,m,ThI
5789.6451,a,ThI
5792.4304,a,ThI
5796.0683,a,ThI
5797.3194,m,ThI
5798.4780,m,ThI
5800.8297,a,ThI
5802.0798,a,ArI
5804.1412,a,ThI
5812.9725,a,ThI
5815.4219,a,ThII
5830.8272,m,ThI
5832.3705,m,ThI
5834.2633,a,ArI
5840.6404,m,ThI
5843.8069,a,ThI
5845.9188,m,ThI
5852.6806,a,ThI
5853.4745,a,ThI
5854.1207,a,ThI
5860.3103,a,ArI
5863.7184,a,ThI
5871.1828,m,ThI
5882.6242,a,ArI
5885.7016,a,ThI
5888.5841,a,ArI
5891.4510,a,ThI
5895.9281,a,Th
5899.8441,m,ThI
5905.5707,a,ThI
5912.0853,a,ArI
5914.6709,a,Th
5916.598,a,ArI
5918.9442,m,ThI
5925.4036,a,ThI
5926.2321,m,ThI
5927.125,a,ArI
5928.8130,a,ArI
5938.8252,a,ThI
5942.7955,a,ThII
5944.6472,a,ThI
5960.7806,m,ThI
5968.3199,a,ArI
5969.7373,m,ThI
5971.6008,a,ArI
5973.6649,a,ThI
5975.0648,a,ThI
5987.3016,a,ArI
5989.0447,a,ThII
5991.0071,a,ThI
5994.1287,a,ThI
5996.6297,m,ThI
5998.9987,a,ArI
6001.2033,m,ThI
6005.1650,m,ThI
6005.7242,a,ArI
6007.0722,a,ThI
6010.1606,a,ThI
6013.6777,a,ArI
6021.0357,a,ThI
6025.1500,a,ArI
6030.4450,m,ThI
6032.1274,a,ArI
6037.6975,a,ThI
6038.6805,m,ThI
6043.2233,a,ArI
6046.8977,m,ArII
6049.0510,a,ThI
6050.9818,m,ThI
6052.7229,a,ArI
6053.3808,m,ThI
6059.3725,a,ArI
6064.7508,a,ArI
6069.0207,m,ThI
6073.1036,a,ThII
6077.1057,m,ThI
6077.8728,m,ThI
6078.4212,m,ThI
6079.2227,a,ThI
6085.3748,m,ThI
6088.0305,a,ThI
6090.7848,a,ArI
6098.8031,a,ArI
6101.1615,a,ArI
6101.7251,m,ThI
6105.6351,a,ArI
6112.8375,m,ThII
6113.4657,a,ArI
6114.9234,a,ArII
6116.1661,m,ThI
6119.6998,m,ThI
6121.4075,m,Th
6123.3619,a,ArII
6124.4805,a,ThI
6127.4160,a,ArI
6138.6465,a,ThII
6145.4411,a,ArI
6151.9929,a,ThI
6154.0682,m,ThI
6155.2385,a,ArI
6155.5810,m,ThI
6157.0878,m,ThI
6161.3534,m,ThI
6164.4796,a,ThI
6165.1232,a,ArI
6169.8221,m,ThI
6170.1740,a,ArI
6172.2778,a,ArII
6173.0964,a,ArI
6178.4315,a,ThI
6180.7050,a,ThI
6182.6217,a,ThI
6187.1350,m,ArII
6188.1251,a,ThI
6191.9053,a,ThI
6193.8563,m,ThII
6198.2227,a,ThI
6200.4325,m,ThII
6201.1002,m,ArII
6203.4925,a,ThI
6205.8599,m,ThI
6207.2201,a,ThI
6208.6869,m,ThI
6215.9383,a,ArI
6220.0112,a,ThI
6221.3192,m,ThI
6224.5272,a,ThI
6226.3697,a,ThI
6232.9745,m,ThII
6234.8554,a,ThI
6239.7121,m,ArII
6240.9536,a,ThI
6243.1201,a,ArII
6248.4055,a,ArI
6257.4237,a,ThI
6261.0642,m,ThII
6261.4181,a,ThI
6265.6036,a,ThI
6266.1737,m,ThII
6271.5444,a,ThI
6274.1166,a,ThII
6276.1646,m,ThI
6277.2385,m,ThII
6285.2780,m,ThII
6287.2554,m,ThI
6291.1915,a,ThI
6292.8909,m,ThI
6293.2424,m,ThI
6296.8722,a,ArI
6300.9165,a,ThI
6303.2507,a,ThI
6307.6570,a,ArI
6309.1600,a,ArI
6310.8101,m,ThI
6315.7750,a,ThI
6317.1824,m,ThI
6324.3978,a,ThI
6326.3669,a,ThI
6327.2778,a,ThI
6331.4137,m,ThI
6333.1459,m,ArII
6337.6201,a,ThI
6339.6684,a,ThI
6342.8595,a,ThI
6348.7375,a,ThI
6355.9108,a,ThI
6357.0229,m,ArII
6358.6211,m,ThII
6364.8937,a,ArI
6369.5748,a,ArI
6371.9436,a,ThI
6376.9305,a,ThI
6384.7169,a,ArI
6387.3957,a,ThI
6388.4179,m,ThI
6399.2065,a,ArII
6400.6961,m,ThI
6403.0128,a,ArII
6406.4462,a,ThI
6408.9035,m,ArII
6411.8991,a,ThI
6413.6145,a,ThI
6416.3071,a,ArI
6422.8969,m,ArII
6431.5550,a,ArI
6437.7613,a,ThI
6438.9160,m,ThI
6441.8994,a,ArII
6443.8598,a,ArII
6446.7712,m,ThI
6450.0060,a,ThI
6457.2824,a,ThI
6466.5526,a,ArI
6471.2131,m,ThII
6483.0825,a,ArII
6488.8832,m,ThI
6490.7372,a,ThI
6493.1975,a,ThI
6501.9919,m,ThI
6506.9868,a,ThI
6508.3605,m,ThI
6509.0503,a,ThI
6512.3639,a,ThI
6522.0432,a,ThI
6531.3418,a,ThI
6538.1120,a,ArI
6551.7055,m,ThI
6554.1603,a,ThI
6558.8756,a,ThI
6564.4445,m,ThI
6569.6322,m,ThII
6576.1221,m,ThI
6577.2146,a,ThI
6583.9060,a,ThI
6588.5396,a,ThI
6591.4845,a,ThI
6593.9391,a,ThI
6596.1141,a,ArI
6598.6778,a,ArI
6599.4824,m,Th
6604.8534,a,ArI
6613.3740,a,ThI
6618.1668,m,ThI
6619.9458,a,ThII
6620.9665,m,ArII
6632.0837,a,ArI
6638.2207,a,ArI
6638.9119,m,ThI
6639.7403,a,ArI
6643.6976,a,ArII
6644.6635,a,Th
6646.5407,m,ThII
6654.3675,m,Th
6656.9386,a,ArI
6658.6774,a,ThI
6660.6761,a,ArI
6662.2686,a,ThI
6664.0510,a,ArI
6666.3588,a,ArII
6668.8163,m,ThI
6674.6969,a,ThI
6677.2817,a,ArI
6678.7067,m,ThI
6683.3673,a,ThI
6684.2929,a,ArI
6692.7262,m,ThII
6696.1400,m,ThI
6697.7123,m,ThI
6698.874,a,ArI
6711.2521,a,ThI
6713.9700,a,ThI
6717.3851,m,ThI
6719.1995,a,ThI
6727.4583,a,ThI
6733.7488,a,ThI
6738.1800,m,ThI
6742.8845,m,ThI
6752.8335,a,ArI
6756.4528,a,ThI
6766.6117,a,ArI
6772.1745,m,ThI
6778.3123,a,ThI
6780.1252,a,ThI
6787.7364,m,ThI
6788.8403,a,ThI
6791.2351,a,ThI
6808.5311,a,ArII
6809.3173,m,ThI
6823.5084,m,ThI
6824.6774,a,ThI
6827.2488,a,ArI
6829.0355,a,ThI
6834.9246,a,ThI
6846.4790,m,Th
6851.8842,a,ArI
6854.1093,m,ThI
6861.2688,a,ArII
6866.3666,m,ThI
6866.7634,m,ThI
6868.4508,m,ThI
6871.2891,a,ArI
6874.7530,a,ThI
6879.5824,a,ArI
6882.8114,m,ThI
6887.0881,a,ArI
6888.1742,a,ArI
6889.3032,m,ThII
6909.8491,m,ThII
6911.2264,a,ThI
6916.1289,a,ThI
6925.0094,a,ArI
6937.6642,a,ArI
6942.5380,m,ThI
6943.6105,a,ThI
6945.4902,a,ThI
6948.2052,m,ThI
6951.4776,a,ArI
6954.6560,m,ThI
6960.2500,a,ArI
6965.4307,a,ArI
6965.938,a,ThI
6989.6553,a,ThI
6992.2126,a,ArI
7000.8036,a,ThI
7002.8829,a,ThI
7015.3172,m,ThI
7018.5675,a,ThI
7025.2251,a,ArI
7030.2514,a,ArI
7036.2831,a,ThI
7045.7970,a,ThII
7053.6196,a,ThII
7058.4895,m,ThI
7060.0417,a,ThI
7060.6538,a,ThI
7067.2181,a,ArI
7068.7358,a,ArI
7072.3939,m,ThI
7075.3336,m,ThII
7084.1690,a,ThI
7086.7044,a,ArI
7089.3395,m,ThII
7107.4778,a,ArI
7109.8602,m,ThI
7114.3984,m,ThI
7124.5607,a,ThI
7125.8200,a,ArI
7132.6100,m,ThI
7142.3310,m,ThI
7147.0416,a,ArI
7148.5589,m,ThI
7150.2844,a,ThI
7153.5877,m,ThI
7156.9416,a,ThI
7158.8387,a,ArI
7159.9470,m,ThI
7162.5569,a,ArI
7167.2028,m,ThI
7168.8952,a,ThI
7173.3725,a,ThI
7191.1328,a,ThII
7200.0454,a,ThI
7202.5166,m,ArI
7206.9804,a,ArI
7208.0063,a,ThI
7212.6896,a,ThI
7218.0542,a,ThI
7219.1515,a,ThI
7229.9386,a,ArI
7230.8623,m,ThI
7233.5365,a,ArII
7242.0919,a,ThI
7244.6965,a,ThI
7246.1277,m,Th
7248.9668,m,ThI
7255.3541,a,ThI
7256.9860,m,ThI
7258.1770,m,ThI
7265.1724,a,ArI
7270.6636,a,ArI
7272.9359,a,ArI
7284.9033,a,ThI
7285.4437,a,ArI
7296.2659,m,ThI
7298.1434,m,ThI
7305.4043,m,ThII
7311.7159,a,ArI
7315.0661,m,ThI
7316.0050,a,ArI
7324.8073,m,ThI
7328.2850,a,ThI
7329.4916,m,ThI
7341.1515,a,ThI
7342.5769,m,ThI
7345.3996,a,ArI
7348.0530,m,ArII
7350.8140,a,ArI
7353.2930,a,ArI
7358.3449,m,ThII
7372.1184,a,ArI
7376.8772,a,ThI
7380.4263,a,ArII
7383.9805,a,ArI
7385.5006,a,ThI
7392.9801,a,ArI
7393.4377,m,ThII
7402.2521,a,ThI
7412.3368,a,ArI
7417.7908,m,ThI
7418.5499,a,ThI
7422.3118,a,ArI
7425.2942,a,ArI
7428.9405,a,ThI
7430.2533,a,ThI
