element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
Hg,2,3493.859,0.004,8000h,2.7e+07,,,
Hg,3,3500.35,0.10,3,,,,
Hg,1,3502.00,0.03,,,,,
Hg,2,3509.758,0.004,100h,4.2e+04,,,
Hg,2,3510.625,0.004,800h,4.8e+06,,,
Hg,2,3515.164,0.004,200h,5.6e+05,,,
Hg,2,3515.164,0.004,200h,2.0e+04,,,
Hg,1,3521.70,0.13,0,,,E2,
Hg,1,3523.02,0.03,,,,,
Hg,1,3524.27,0.03,,,,,
Hg,2,3532.594,0.004,100000,3.0e+07,,,
Hg,3,3538.88,0.10,4,,,,
Hg,2,3541.352,0.004,100h,3.0e+04,,,
Hg,1,3543.46,0.04,60,,,,
Hg,2,3549.411,0.004,30000,1.5e+07,,,
Hg,3,3557.24,0.10,5,,,,
Hg,1,3558.73,0.03,,,,,
Hg,2,3562.385,0.004,100,,,,
Hg,1,3588.85,0.13,0,,,E2,
Hg,1,3591.01,0.03,,,,,
Hg,1,3591.48,0.20,1,,,,
Hg,1,3592.74,0.03,,,,,
Hg,2,3602.931,0.004,600c,9.8e+05,,,
Hg,2,3603.908,0.004,1500,2.0e+06,,,
Hg,2,3604.085,0.004,45000c,1.4e+07,,,
Hg,2,3605.762,0.002,100000,3.0e+07,,,
Hg,2,3606.885,0.004,8000,5.7e+06,,,
Hg,2,3614.875,0.004,450,8.5e+05,,,
Hg,2,3632.363,0.004,8000,3.5e+06,,,
Hg,2,3643.293,0.004,100h,1.2e+04,,,
Hg,2,3643.293,0.004,100h,3.4e+05,,,
Hg,1,3650.1580,0.0010,9000,1.29e+08,B+,,
Hg,1,3654.8420,0.0010,3000,1.84e+07B,,
Hg,1,3662.8870,0.0010,500,3.6e+06,C,,
Hg,1,3663.2840,0.0010,2000,,,,
Hg,1,3680.211,0.014,,,,E2,
Hg,1,3697.79,0.13,0,,,E2,
Hg,1,3701.442,0.020,50,,,,
Hg,1,3702.36,0.10,1,,,,
Hg,1,3704.1655,0.0010,9,,,,
Hg,2,3751.759,0.004,100h,,,,
Hg,2,3776.141,0.003,6000h,2.6e+07,,,
Hg,2,3777.755,0.003,900,2.7e+06,,,
Hg,2,3789.727,0.004,5,7.5e+05,,,
Hg,1,3790.00,0.04,80,,,,
Hg,2,3797.326,0.003,6000c,7.6e+05,,,
Hg,1,3801.6583,0.0010,50,,,,
Hg,3,3803.51,0.10,15,,,,
Hg,2,3806.312,0.003,50000,3.2e+07,,,
Hg,1,3815.8,0.2,1,,,,
Hg,1,3820.40,0.04,50,,,,
Hg,2,3828.909,0.004,1000,1.5e+06,,,
Hg,2,3839.259,0.004,10000,4.7e+06,,,
Hg,1,3860.85,0.04,30,,,,
Hg,2,3883.183,0.004,200,,,,
Hg,1,3893.86,0.13,1,,,E2,
Hg,1,3901.868,0.008,30,,,,
Hg,1,3903.638,0.020,0.5,,,,
Hg,1,3906.371,0.008,40,,,,
Hg,2,3909.320,0.004,400,,,,
Hg,2,3913.367,0.004,75,,,,
Hg,2,3914.313,0.004,5000,3.7e+06,,,
Hg,2,3919.264,0.004,500D,1.1e+07,,,
Hg,2,3940.369,0.016,15G,1.9e+06,,,
Hg,2,3945.673,0.004,30,,,,
Hg,2,3946.281,0.004,75,,,,
Hg,2,3956.319,0.004,60,,,,
Hg,2,3974.402,0.004,500,,,,
Hg,1,3983.92,0.05,2,,,,
Hg,2,3983.9312,0.0003,10000000c,3.2e+06,,,
Hg,1,4025.95,0.08,4,,,,
Hg,2,4026.201,0.016,15G,,,,
Hg,2,4040.457,0.010,4000c,9.0e+06,,,
Hg,2,4040.576,0.003,500,,,,
Hg,1,4046.5650,0.0010,12000,2.07e+07B,,
Hg,2,4047.740,0.004,50,3.0e+05,,,
Hg,1,4077.8370,0.0010,1000,4.0e+06B,,
Hg,1,4108.054,0.008,70,2.2e+06,D,,
Hg,2,4120.440,0.004,4000,1.2e+07,,,
Hg,3,4122.07,0.10,70,,,,
Hg,1,4140.0,0.2,0,,,,
Hg,3,4140.34,0.10,10,,,,
Hg,3,4216.74,0.10,100,,,,
Hg,2,4276.224,0.003,100,,,,
Hg,2,4277.995,0.003,100w,8.0e+06,,,
Hg,1,4314.05,0.13,1,,,E2,
Hg,2,4337.097,0.004,100c,4.0e+04,,,
Hg,2,4337.097,0.004,100c,1.1e+06,,,
Hg,1,4339.2232,0.0010,50,2.9e+06,C+,,
Hg,1,4343.634,0.020,1.3,,,,
Hg,1,4347.4945,0.0010,150,8.4e+06B,,
Hg,1,4358.3350,0.0010,12000,5.6e+07B,,
Hg,2,4382.549,0.004,300u,8.5e+04,,,
Hg,2,4398.617,0.003,40000,9.0e+06,,,
Hg,2,4404.854,0.006,2h,4.5e+06,,,
Hg,2,4425.220,0.004,3300h,1.3e+06,,,
Hg,2,4454.395,0.003,200h,6.5e+06,,,
Hg,2,4455.486,0.003,70h,2.1e+06,,,
Hg,2,4459.053,0.003,150h,,,,
Hg,2,4463.878,0.004,700c,8.0e+04,,,
Hg,3,4470.58,0.10,15,,,,
Hg,2,4491.552,0.003,2000,,,,
Hg,2,4492.831,0.003,2800,7.5e+05,,,
Hg,3,4552.84,0.10,12,,,,
Hg,2,4657.320,0.003,60h,,,,
Hg,2,4660.219,0.004,30000,1.0e+07,,,
Hg,1,4670.831,0.011,,,,,
Hg,1,4671.717,0.011,,,,,
Hg,1,4672.918,0.011,*,,,,
Hg,1,4672.918,0.011,*,,,,
Hg,1,4683.819,0.011,,,,,
Hg,1,4684.926,0.011,,,,,
Hg,1,4686.386,0.011,*,,,,
Hg,1,4686.386,0.011,*,,,,
Hg,2,4686.563,0.003,60s,7.7e+03,,,
Hg,1,4699.797,0.011,,,,,
Hg,1,4701.171,0.011,,,,,
Hg,1,4703.011,0.011,,,,,
Hg,1,4703.051,0.011,,,,,
Hg,2,4704.625,0.003,300l,6.7e+06,,,
Hg,1,4719.742,0.011,,,,,
Hg,1,4721.512,0.011,,,,,
Hg,1,4723.814,0.011,,,,,
Hg,1,4723.919,0.011,,,,,
Hg,2,4742.297,0.003,300,,,,
Hg,1,4745.148,0.011,,,,,
Hg,1,4747.458,0.011,,,,,
Hg,1,4750.393,0.011,,,,,
Hg,1,4750.560,0.011,,,,,
Hg,2,4762.266,0.003,100h,2.8e+06,,,
Hg,1,4778.118,0.011,,,,,
Hg,1,4781.274,0.011,,,,,
Hg,1,4785.153,0.011,,,,,
Hg,1,4785.354,0.011,,,,,
Hg,3,4797.01,0.10,50,,,,
Hg,1,4822.204,0.012,,,,,
Hg,2,4825.566,0.003,17000,,,,
Hg,1,4826.594,0.012,,,,,
Hg,2,4827.732,0.003,30w,4.8e+03,,,
Hg,1,4831.878,0.012,,,,,
Hg,1,4832.238,0.012,,,,,
Hg,2,4855.584,0.004,16000h,2.2e+06,,,
Hg,3,4869.85,0.10,10,,,,
Hg,2,4880.327,0.005,4500c,,,,
Hg,1,4882.999,0.005,6,,,,
Hg,1,4889.489,0.012,,,,,
Hg,1,4896.914,0.012,,,,,
Hg,1,4897.482,0.012,,,,,
Hg,1,4916.068,0.010,20,5.8e+06,D+,,
Hg,2,4916.328,0.003,100w,,,,
