element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Ar,2,5045.11,0.04,,,13.5,wbl,N
Ar,2,5062.037,0.0001,B,,10746.0,,N
Ar,2,5087.64,0.02,,,13.5,,N
Ar,2,5090.4948,0.0003,,,1215.0,,N
Ar,2,5092.174,0.008,,,27.0,,N
Ar,2,5095.845,0.008,,,54.0,,N
Ar,2,5096.851,0.008,,,27.0,,N
Ar,2,5100.45,0.02,,,13.5,,N
Ar,2,5121.4804,0.0005,,,135.0,,N
Ar,2,5122.59,0.02,,,13.5,*,N
Ar,2,5122.59,0.02,,,13.5,*,N
Ar,2,5122.972,0.008,,,54.0,,N
Ar,2,5125.7663,0.0007,,,459.0,,N
Ar,2,5129.083,0.008,,,54.0,,N
Ar,2,5131.106,0.008,,,27.0,,N
Ar,2,5132.145,0.008,,,54.0,,N
Ar,2,5141.7826,0.0001,A,,6048.0,,N
Ar,2,5145.308,0.0001,B,,4374.0,,N
Ar,1,5151.391,0.01,C,,135.0,,Y
Ar,2,5152.8606,0.0005,,,135.0,,N
Ar,2,5159.505,0.008,,,27.0,,N
Ar,2,5160.81,0.04,,,0.0,bl,N
Ar,1,5162.285,0.01,C,,405.0,,Y
Ar,2,5162.7467,0.0009,,,378.0,,N
Ar,2,5165.7727,0.0002,,,1296.0,,N
Ar,2,5175.426,0.008,,,54.0,,N
Ar,2,5176.229,0.0004,B,,702.0,,N
Ar,2,5179.24,0.02,,,0.0,h,N
Ar,2,5183.09,0.04,,,27.0,bli,N
Ar,1,5187.746,0.01,C,,540.0,,Y
Ar,2,5191.3656,0.0009,,,270.0,,N
Ar,3,5191.82,0.1,C,,-2673.0,--,N
Ar,2,5202.193,0.002,,,135.0,,N
Ar,2,5204.4432,0.0005,,,189.0,,N
Ar,2,5215.11,0.02,E,,13.5,,N
Ar,2,5216.814,0.0005,,,756.0,,N
Ar,2,5219.589,0.008,,,27.0,,N
Ar,1,5221.271,0.01,D,,189.0,,Y
Ar,2,5221.864,0.002,,,162.0,,N
Ar,2,5230.5008,0.0019,,,162.0,,N
Ar,2,5230.75,0.02,,,13.5,,N
Ar,2,5236.03,0.02,,,27.0,,N
Ar,2,5236.231,0.016,,,54.0,bl,N
Ar,2,5236.853,0.008,,,27.0,,N
Ar,2,5237.92,0.02,,,0.0,,N
Ar,2,5241.786,0.008,,,54.0,,N
Ar,2,5245.09,0.02,,,27.0,,N
Ar,2,5245.3778,0.0016,,,189.0,,N
Ar,2,5247.469,0.008,,,27.0,,N
Ar,2,5247.986,0.008,,,81.0,,N
Ar,2,5249.5457,0.0009,,,297.0,,N
Ar,2,5250.57,0.02,,,0.0,,N
Ar,2,5251.1051,0.0005,,,324.0,,N
Ar,2,5251.4029,0.0011,,,297.0,,N
Ar,2,5252.138,0.008,,,27.0,,N
Ar,2,5255.39,0.02,,,13.5,,N
Ar,2,5255.677,0.008,,,27.0,*,N
Ar,2,5255.677,0.008,,,27.0,*,N
Ar,2,5255.677,0.008,,,27.0,*,N
Ar,2,5256.5648,0.001,,,216.0,,N
Ar,2,5258.223,0.008,,,27.0,,N
Ar,2,5259.174,0.008,,,27.0,,N
Ar,2,5261.8987,0.0006,,,189.0,,N
Ar,2,5264.305,0.008,,,27.0,,N
Ar,2,5264.7819,0.0007,,,459.0,,N
Ar,2,5267.1634,0.0008,,,378.0,,N
Ar,2,5267.958,0.008,,,81.0,,N
Ar,2,5268.246,0.008,,,81.0,,N
Ar,2,5269.761,0.003,,,108.0,,N
Ar,2,5273.58,0.008,,,27.0,,N
Ar,2,5273.85,0.02,,,13.5,,N
Ar,2,5281.6295,0.0005,,,567.0,,N
Ar,2,5283.437,0.016,,,27.0,bl,N
Ar,2,5285.438,0.008,,,54.0,,N
Ar,2,5286.8866,0.0008,C,,486.0,,N
Ar,2,5288.634,0.008,,,27.0,,N
Ar,2,5290.0551,0.0013,,,243.0,,N
Ar,2,5290.99,0.02,,,13.5,p,N
Ar,2,5291.97,0.02,,,13.5,,N
Ar,2,5293.8157,0.0018,,,162.0,,N
Ar,2,5295.892,0.008,,,81.0,,N
Ar,2,5296.3883,0.0018,,,189.0,,N
Ar,2,5296.791,0.02,,,81.0,,N
Ar,2,5298.001,0.014,,,54.0,,N
Ar,2,5299.0805,0.0006,,,135.0,,N
Ar,2,5299.48,0.02,,,0.0,,N
Ar,2,5300.7745,0.0011,,,216.0,,N
Ar,2,5302.56,0.02,,,0.0,,N
Ar,2,5305.6856,0.0009,,,405.0,*,N
Ar,2,5305.6856,0.0009,,,405.0,*,N
Ar,2,5308.074,0.008,,,135.0,,N
Ar,2,5311.9816,0.002,,,135.0,,N
Ar,2,5312.078,0.003,,,135.0,,N
Ar,2,5314.258,0.008,,,54.0,,N
Ar,2,5315.215,0.008,,,108.0,bl,N
Ar,2,5316.11,0.02,,,0.0,*,N
Ar,2,5316.11,0.02,,,0.0,*,N
Ar,8,5326.9,0.08,,,-2673.0,--,N
Ar,2,5328.758,0.016,,,27.0,bl,N
Ar,2,5329.6992,0.001,,,270.0,,N
Ar,2,5330.664,0.008,,,81.0,bliG,N
Ar,2,5331.042,0.002,,,162.0,,N
Ar,2,5332.7,0.02,,,0.0,,N
Ar,2,5335.12,0.02,,,13.5,,N
Ar,2,5335.916,0.008,,,27.0,,N
Ar,2,5337.25,0.008,,,27.0,,N
Ar,2,5338.106,0.008,,,27.0,,N
Ar,2,5339.33,0.02,,,27.0,,N
Ar,8,5342.0,0.4,,,-2673.0,--,N
Ar,2,5343.26,0.02,,,0.0,?,N
Ar,2,5344.5228,0.0018,,,189.0,,N
Ar,2,5345.609,0.008,,,27.0,,N
Ar,2,5348.2636,0.001,,,351.0,,N
Ar,2,5348.604,0.008,,,54.0,,N
Ar,2,5349.717,0.008,,,54.0,,N
Ar,2,5351.449,0.008,,,108.0,l,N
Ar,2,5354.82,0.02,,,27.0,,N
Ar,2,5357.81,0.02,,,27.0,*,N
Ar,2,5357.81,0.02,,,27.0,*,N
Ar,2,5357.81,0.02,,,27.0,*,N
Ar,2,5358.3797,0.0009,,,378.0,,N
Ar,2,5358.616,0.008,,,54.0,,N
Ar,2,5359.0657,0.0006,,,162.0,,N
Ar,2,5364.142,0.008,,,27.0,,N
Ar,2,5365.485,0.008,,,27.0,,N
Ar,2,5372.007,0.008,,,54.0,,N
Ar,2,5372.33,0.02,,,0.0,,N
Ar,2,5376.6347,0.0009,,,324.0,,N
Ar,2,5378.077,0.002,,,189.0,,N
Ar,2,5378.94,0.02,,,0.0,,N
Ar,2,5379.1666,0.0006,,,54.0,,N
Ar,2,5382.33,0.008,,,54.0,,N
Ar,2,5384.3742,0.0013,,,216.0,,N
Ar,2,5386.519,0.008,,,54.0,,N
Ar,2,5391.22,0.02,,,0.0,,N
Ar,2,5393.6015,0.0013,,,216.0,,N
Ar,2,5394.81,0.02,,,27.0,,N
Ar,2,5397.5164,0.0003,,,945.0,,N
Ar,2,5400.62,0.02,,,27.0,,N
Ar,2,5402.17,0.008,,,27.0,,N
Ar,2,5402.6051,0.0007,,,405.0,,N
Ar,2,5407.3448,0.0004,,,648.0,,N
Ar,2,5409.401,0.008,,,27.0,,N
Ar,2,5411.646,0.008,,,81.0,,N
Ar,2,5412.4465,0.0006,,,162.0,,N
Ar,2,5416.71,0.008,,,27.0,,N
Ar,1,5421.352,0.01,D,,135.0,,Y
Ar,2,5425.03,0.02,,,0.0,,N
Ar,2,5432.94,0.02,,,27.0,,N
Ar,2,5439.676,0.008,,,81.0,,N
Ar,2,5440.524,0.008,,,27.0,,N
Ar,2,5440.932,0.008,,,54.0,,N
Ar,2,5443.6893,0.0016,,,189.0,,N
Ar,2,5447.556,0.008,,,54.0,,N
Ar,2,5451.11,0.02,,,13.5,,N
Ar,1,5451.652,0.01,D+,,270.0,,Y
Ar,2,5453.634,0.008,,,135.0,*,N
Ar,2,5453.634,0.008,,,135.0,*,N
Ar,2,5454.3052,0.0013,,,297.0,*,N
Ar,2,5454.3052,0.0013,,,297.0,*,N
Ar,2,5454.757,0.008,,,27.0,,N
Ar,2,5456.382,0.008,,,135.0,,N
Ar,2,5466.4338,0.0006,,,162.0,,N
Ar,2,5469.098,0.003,,,108.0,,N
Ar,2,5470.307,0.008,,,54.0,,N
Ar,2,5472.642,0.008,,,27.0,,N
Ar,2,5476.12,0.02,,,0.0,,N
Ar,2,5481.997,0.008,,,27.0,,N
Ar,2,5484.311,0.008,,,27.0,,N
Ar,2,5486.102,0.008,,,27.0,,N
Ar,2,5490.667,0.008,,,27.0,,N
Ar,1,5495.874,0.01,C,,675.0,,N
Ar,2,5497.123,0.008,,,81.0,,N
Ar,2,5498.1838,0.0019,,,216.0,,N
Ar,2,5498.972,0.016,,,54.0,bl,N
Ar,2,5500.3323,0.0014,,,270.0,,N
Ar,2,5501.48,0.008,,,54.0,l,N
Ar,3,5502.2,0.5,,,-2673.0,--,N
Ar,2,5503.256,0.008,,,81.0,,N
Ar,2,5504.13,0.008,,,0.0,,N
Ar,2,5504.45,0.008,,,0.0,,N
Ar,2,5504.917,0.008,,,81.0,,N
Ar,1,5506.113,0.01,D+,,135.0,,Y
Ar,2,5507.762,0.002,,,162.0,,N
Ar,2,5513.303,0.008,,,27.0,,N
Ar,2,5516.668,0.008,,,54.0,,N
Ar,2,5519.337,0.008,,,108.0,,N
Ar,2,5521.74,0.008,,,27.0,,N
Ar,2,5523.69,0.008,,,54.0,,N
Ar,2,5525.856,0.008,,,54.0,,N
Ar,10,5533.265,0.002,M1,,-2673.0,--,N
Ar,2,5534.96,0.008,,,0.0,h,N
Ar,2,5535.51,0.008,,,27.0,h,N
Ar,2,5537.29,0.008,,,135.0,,N
Ar,2,5543.88,0.008,,,27.0,,N
Ar,2,5545.0492,0.0019,,,189.0,,N
Ar,2,5554.0227,0.0005,,,783.0,,N
Ar,2,5554.146,0.002,,,243.0,,N
Ar,1,5558.702,0.01,C,,675.0,,Y
Ar,2,5563.196,0.008,,,54.0,,N
Ar,1,5572.541,0.01,C,,270.0,,Y
Ar,2,5577.6857,0.0013,,,243.0,,N
Ar,2,5578.521,0.004,,,108.0,,N
Ar,2,5582.61,0.02,,,27.0,,N
Ar,2,5588.1,0.008,,,13.5,,N
Ar,2,5592.2,0.008,,,27.0,,N
Ar,2,5593.52,0.02,,,27.0,,N
Ar,2,5602.62,0.02,,,13.5,,N
Ar,2,5603.9355,0.0006,,,81.0,,N
Ar,1,5606.733,0.01,C,,945.0,,Y
Ar,2,5609.5799,0.0006,,,135.0,,N
Ar,2,5611.667,0.008,,,54.0,,N
Ar,2,5617.26,0.008,,,0.0,,N
Ar,2,5621.51,0.008,,,0.0,*,N
Ar,2,5621.51,0.008,,,0.0,*,N
Ar,2,5624.005,0.008,,,27.0,,N
Ar,2,5625.6764,0.0013,,,270.0,,N
Ar,2,5631.1568,0.0011,,,216.0,,N
Ar,2,5631.381,0.008,,,27.0,,N
Ar,2,5634.661,0.008,,,54.0,,N
Ar,2,5635.8812,0.0006,,,351.0,,N
Ar,2,5642.413,0.008,C,,54.0,,N
Ar,1,5650.704,0.01,C,,540.0,,Y
Ar,2,5653.68,0.008,,,0.0,,N
Ar,2,5654.02,0.008,,,54.0,,N
Ar,2,5654.4555,0.0014,,,216.0,,N
Ar,2,5655.236,0.008,,,54.0,,N
Ar,2,5667.29,0.008,,,0.0,,N
Ar,2,5669.96,0.008,,,0.0,,N
Ar,2,5672.9766,0.0019,,,162.0,,N
Ar,2,5681.48,0.008,,,54.0,*,N
Ar,2,5681.48,0.008,,,54.0,*,N
Ar,2,5691.663,0.0016,,,297.0,,N
Ar,2,5693.3,0.008,,,0.0,,N
Ar,2,5704.3766,0.0007,,,135.0,,N
Ar,2,5707.215,0.008,,,27.0,,N
Ar,2,5708.616,0.008,,,27.0,,N
Ar,2,5711.453,0.008,,,27.0,,N
Ar,2,5716.029,0.008,,,27.0,,N
Ar,2,5724.325,0.008,C,,135.0,,N
Ar,2,5732.21,0.008,,,27.0,,N
Ar,2,5732.694,0.008,,,27.0,,N
Ar,1,5739.52,0.01,D,,270.0,,Y
Ar,3,5743.147,0.02,,,27.0,,N
Ar,2,5743.2756,0.0007,,,108.0,,N
Ar,2,5749.39,0.008,,,0.0,,N
Ar,2,5753.54,0.008,,,27.0,,N
Ar,2,5756.6,0.008,,,81.0,,N
Ar,2,5766.542,0.008,,,54.0,*,N
Ar,2,5766.542,0.008,,,54.0,*,N
Ar,2,5772.323,0.0019,,,243.0,,N
Ar,2,5773.18,0.008,,,0.0,h,N
Ar,2,5774.697,0.008,,,27.0,,N
Ar,2,5776.374,0.008,,,54.0,,N
Ar,2,5781.268,0.008,,,54.0,,N
Ar,2,5782.35,0.02,,,13.5,,N
Ar,2,5786.561,0.008,,,108.0,bl,N
Ar,2,5788.58,0.02,,,0.0,,N
Ar,2,5799.7401,0.0007,,,81.0,,N
Ar,2,5800.46,0.02,,,27.0,,N
Ar,2,5807.596,0.008,,,27.0,,N
