element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Th,2,2822.02488,0.0001,,,620.0,,Y
Th,2,2822.18051,0.00018,,,210.0,,Y
Th,2,2822.2748,0.0003,,,77.0,,Y
Th,2,2822.35755,0.00024,,,160.0,,Y
Th,2,2822.40592,0.00024,,,120.0,,Y
Th,2,2822.55881,0.00015,,,310.0,,Y
Th,2,2822.68732,0.00024,,,140.0,,Y
Th,2,2823.13258,0.00017,,,250.0,,Y
Th,2,2823.55476,0.00024,,,120.0,,Y
Th,3,2824.64218,0.00012,,,470.0,,Y
Th,2,2825.37662,0.00019,,,190.0,,Y
Th,2,2825.944,0.00024,,,160.0,,Y
Th,2,2826.85488,9e-05,,,840.0,,Y
Th,2,2827.28154,0.00024,,,140.0,,Y
Th,2,2827.75527,0.00014,,,330.0,,Y
Th,2,2827.98913,0.00015,,,290.0,,Y
Th,1,2828.20735,0.00018,,,230.0,,Y
Th,1,2828.5021,0.0008,,,2900.0,,Y
Th,1,2829.34376,0.00024,,,97.0,,Y
Th,2,2829.43409,0.00024,,,120.0,,Y
Th,1,2829.73401,0.00017,,,250.0,,Y
Th,2,2829.93265,0.00016,,,260.0,,Y
Th,2,2830.44162,0.00014,,,390.0,,Y
Th,1,2831.1461,0.0008,,,29.0,,Y
Th,2,2831.2086,0.00024,,,130.0,,Y
Th,2,2832.01091,0.00024,,,140.0,,Y
Th,2,2832.31527,5e-05,,,4800.0,,Y
Th,1,2832.5645,0.0003,,,82.0,,Y
Th,2,2833.33353,0.00014,,,350.0,,Y
Th,2,2833.53306,0.00024,,,160.0,,Y
Th,2,2834.48209,0.0001,,,620.0,,Y
Th,2,2834.53139,0.00015,,,300.0,,Y
Th,2,2834.77755,0.00024,,,130.0,,Y
Th,2,2836.04697,9e-05,,,860.0,,Y
Th,2,2836.20554,0.00024,,,120.0,,Y
Th,2,2836.3891,0.00024,,,150.0,,Y
Th,2,2836.43633,0.00018,,,220.0,,Y
Th,3,2836.58106,0.00024,,,130.0,,Y
Th,1,2836.783,0.0008,,,4.0,,Y
Th,2,2837.20153,0.00024,,,110.0,,Y
Th,2,2837.2554,0.00024,,,120.0,,Y
Th,2,2837.29533,4e-05,,,7400.0,,Y
Th,1,2838.48227,0.00018,,,220.0,,Y
Th,2,2839.24148,0.00014,,,370.0,,Y
Th,2,2839.33664,0.0002,,,180.0,,Y
Th,2,2839.60666,0.00015,,,280.0,,Y
Th,2,2840.15613,0.00011,,,520.0,bl,Y
Th,2,2841.16353,0.00011,,,550.0,,Y
Th,1,2841.383,0.0008,,,220.0,,Y
Th,2,2841.81212,0.00024,,,140.0,,Y
Th,2,2842.67526,0.00018,,,220.0,,Y
Th,1,2842.745,0.0003,,,79.0,,Y
Th,2,2842.81264,6e-05,,,1700.0,,Y
Th,2,2843.05775,0.00024,,,120.0,,Y
Th,2,2843.30528,0.00024,,,110.0,,Y
Th,1,2843.90652,0.00024,,,100.0,,Y
Th,2,2845.18663,0.00019,,,210.0,,Y
Th,2,2845.83335,0.00015,,,300.0,,Y
Th,1,2846.0365,0.00024,,,94.0,,Y
Th,2,2846.53137,0.00017,,,240.0,,Y
Th,2,2847.35438,0.00011,,,590.0,,Y
Th,2,2847.88966,0.00024,,,140.0,,Y
Th,2,2848.01244,0.00014,,,360.0,,Y
Th,1,2848.08383,0.00024,,,170.0,,Y
Th,2,2849.169,0.0003,,,82.0,,Y
Th,1,2849.326,0.0008,,,150.0,,Y
Th,1,2849.725,0.0008,,,15.0,,Y
Th,2,2851.11882,0.00024,,,150.0,,Y
Th,2,2851.25897,6e-05,,,2100.0,,Y
Th,2,2851.44276,0.00011,,,500.0,,Y
Th,1,2851.55694,0.00024,,,140.0,,Y
Th,2,2852.50031,0.00014,,,370.0,,Y
Th,2,2852.98154,0.00024,,,110.0,,Y
Th,2,2854.13263,0.00012,,,500.0,,Y
Th,1,2854.3416,0.0003,,,87.0,,Y
Th,2,2854.91717,0.00016,,,280.0,,Y
Th,2,2855.8671,0.0003,,,79.0,,Y
Th,2,2855.90393,0.00016,,,310.0,,Y
Th,1,2857.1368,0.0003,,,87.0,,Y
Th,2,2857.262,0.0011,,,30.0,,Y
Th,1,2857.3361,0.0008,,,15.0,,Y
Th,2,2857.3981,0.0011,,,120.0,,Y
Th,2,2857.49075,0.00016,,,290.0,,Y
Th,2,2857.599,0.0011,,,30.0,,Y
Th,2,2858.915,0.0011,,,230.0,,Y
Th,2,2859.6911,0.0011,,,14.0,,Y
Th,1,2860.49036,0.00025,,,130.0,,Y
Th,1,2860.7761,0.0008,,,150.0,,Y
Th,2,2861.27046,0.00025,,,160.0,,Y
Th,2,2861.32957,0.00011,,,680.0,,Y
Th,2,2861.3908,0.0003,,,81.0,,Y
Th,2,2861.41462,9e-05,,,860.0,,Y
Th,2,2861.442,0.0011,,,120.0,,Y
Th,2,2862.00681,0.00018,,,220.0,,Y
Th,2,2862.52694,0.00019,,,210.0,,Y
Th,2,2862.61,0.0011,,,4400.0,,Y
Th,2,2862.646,0.0011,,,43.0,,Y
Th,2,2862.732,0.0011,,,14.0,,Y
Th,2,2863.0691,0.0011,,,14.0,,Y
Th,1,2863.51,0.0008,,,15.0,,Y
Th,2,2864.65642,9e-05,,,850.0,,Y
Th,2,2864.98,0.0011,,,28.0,,Y
Th,2,2865.2432,0.00025,,,110.0,,Y
Th,1,2866.241,0.0008,,,60.0,,Y
Th,2,2866.4066,0.0002,,,190.0,,Y
Th,2,2866.65124,0.00016,,,300.0,,Y
Th,2,2867.0273,0.0003,,,70.0,,Y
Th,2,2867.067,0.0012,,,140.0,,Y
Th,2,2867.1201,0.0012,,,69.0,,Y
Th,1,2867.141,0.0008,,,60.0,,Y
Th,2,2867.9201,0.0012,,,69.0,,Y
Th,2,2868.41655,0.00025,,,100.0,,Y
Th,1,2868.4605,0.00014,,,370.0,,Y
Th,2,2868.68097,0.00019,,,210.0,,Y
Th,1,2869.374,0.0008,,,7.0,,Y
Th,2,2869.528,0.0012,,,26.0,,Y
Th,1,2869.5891,0.0008,,,3.0,,Y
Th,2,2869.91513,0.00012,,,470.0,,Y
Th,2,2870.04952,0.00025,,,130.0,,Y
Th,2,2870.28471,0.00025,,,110.0,,Y
Th,2,2870.40648,5e-05,,,3400.0,,Y
Th,2,2870.82254,0.00015,,,330.0,,Y
Th,2,2871.105,0.0012,,,64.0,,Y
Th,3,2871.69253,0.00025,,,150.0,,Y
Th,2,2871.7541,0.0012,,,38.0,,Y
Th,2,2872.2671,0.0012,,,25.0,,Y
Th,2,2872.441,0.0012,,,25.0,,Y
Th,2,2873.168,0.0012,,,24.0,,Y
Th,2,2873.71531,0.00025,,,97.0,,Y
Th,1,2873.7341,0.0008,,,110.0,,Y
Th,2,2874.62506,0.00025,,,96.0,,Y
Th,2,2874.753,0.0012,,,23.0,,Y
Th,2,2874.9147,0.00013,,,430.0,,Y
Th,2,2875.64164,0.00011,,,640.0,,Y
Th,2,2876.41769,0.00015,,,340.0,,Y
Th,2,2876.658,0.0012,,,34.0,,Y
Th,2,2877.3871,0.0003,,,91.0,,Y
Th,1,2877.9741,0.0008,,,7.0,,Y
Th,2,2878.6437,0.0003,,,78.0,,Y
Th,1,2878.65564,0.00025,,,96.0,,Y
Th,2,2879.18187,0.00025,,,97.0,,Y
Th,2,2879.20558,0.00025,,,120.0,,Y
Th,2,2879.5321,0.00025,,,170.0,*,Y
Th,2,2879.958,0.0012,,,22.0,,Y
Th,2,2880.313,0.0012,,,11.0,,Y
Th,1,2880.63246,0.00025,,,140.0,,Y
Th,2,2881.13832,0.00017,,,250.0,,Y
Th,2,2882.00931,0.00012,,,560.0,,Y
Th,2,2882.191,0.0012,,,10.0,,Y
Th,2,2882.354,0.0012,,,87.0,,Y
Th,2,2882.4031,0.0012,,,10.0,,Y
Th,2,2882.51185,0.0002,,,180.0,,Y
Th,2,2882.9591,0.0012,,,21.0,,Y
Th,2,2883.184,0.0012,,,21.0,,Y
Th,2,2883.446,0.0012,,,54.0,,Y
Th,2,2883.6193,0.00025,,,150.0,,Y
Th,1,2883.713,0.0003,,,90.0,,Y
Th,2,2884.28959,6e-05,,,2000.0,,Y
Th,2,2885.04903,6e-05,,,2600.0,,Y
Th,1,2885.169,0.0008,,,110.0,,Y
Th,2,2885.9698,0.0003,,,86.0,,Y
Th,2,2886.24283,0.00019,,,210.0,,Y
Th,2,2886.50604,0.00015,,,330.0,,Y
Th,2,2886.7851,0.0012,,,19.0,,Y
Th,2,2887.8175,7e-05,,,1700.0,,Y
Th,2,2888.0448,0.0003,,,96.0,,Y
Th,2,2888.904,0.0012,,,46.0,,Y
Th,3,2888.9561,0.0003,,,150.0,,Y
Th,2,2889.181,0.0012,,,920.0,,Y
Th,1,2889.1817,0.0003,,,170.0,,Y
Th,1,2889.2911,0.0003,,,150.0,,Y
Th,2,2889.5641,0.0012,,,9.0,,Y
Th,1,2890.0776,0.0003,,,90.0,,Y
