Ritz_Wavelength_(A),Ritz_Wavelength_Uncertainty_(A),Measured_Wavelength_(A),Measured_Wavelength_Uncertainty_(A),Relative_Intensity,Species,Lower_State_Energy,Lower_State_J,Upper_State_Energy,Upper_State_J,Source,Use
6348.737404,2e-05,6348.73742,5e-05,2600,Th I,8243,2_1,23990,2,RNS13,Y
6355.910742,2.4e-05,6355.9107,6e-05,2200,Th I,10526,3_1,26255,4,RNS13,Y
6371.943522,1.6e-05,6371.94351,5e-05,3000,Th I,5563,1,21252,2_1,RNS13,Y
6376.93048,2e-05,6376.930468,2e-05,6700,Th I,14204,5,29881,4_1,RNS13,Y
6387.395516,2e-05,6387.39546,6e-05,2300,Th I,3865,1,19516,2_1,RNS13,Y
6396.949,5e-05,6396.95,0.0004,590,Th I,14206,4_1,29835,3,PE83,Y
6411.899019,1.2e-05,6411.899027,1.6e-05,11000,Th I,7502,3,23093,2_1,RNS13,Y
6439.0733,9e-05,6439.07149,0.00012,8600,Th I,15493,4,31019,4_1,PE83,Y
6457.282377,1.3e-05,6457.282373,1.3e-05,44000,Th I,7795,4_1,23277,5,RNS13,Y
6471.21316,0.00011,6471.2132,0.0004,430,Th II,12488,9/2_1,27937,11/2,PE83,Y
6487.481273,2.1e-05,6487.4811,0.0005,380,Th I,8111,4,23521,3_1,PE83,Y
6490.73704,1.7e-05,6490.73704,3e-05,5200,Th I,8800,4,24202,4_1,RNS13,Y
6501.99179,3e-05,6501.99169,0.00017,860,Th I,6362,2,21738,2_1,RNS13,Y
6512.363758,1.3e-05,6512.36369,4e-05,3900,Th I,3687,2,19039,2_1,RNS13,Y
6522.0432,3e-05,6522.04346,0.00013,1000,Th I,10783,2_1,26111,1,RNS13,Y
6531.341686,1.3e-05,6531.341699,1.3e-05,17000,Th I,6362,2,21668,1_1,RNS13,Y
6537.6138,7e-05,6537.613,0.0004,350,Th I,13297,4,28589,3_1,RNS13,Y
6554.160232,1.3e-05,6554.16021,3e-05,6500,Th I,4961,4,20214,3_1,RNS13,Y
6564.4444,3e-05,6564.4444,0.0003,610,Th I,12114,2_1,27343,3,RNS13,Y
6577.214412,1.3e-05,6577.21443,3e-05,5800,Th I,2869,3,18069,3_1,RNS13,Y
6583.905752,1.3e-05,6583.905757,1.3e-05,32000,Th I,2869,3,18053,4_1,RNS13,Y
6588.539472,1.3e-05,6588.539481,1.3e-05,26000,Th I,3865,1,19039,2_1,RNS13,Y
6605.41639,6e-05,6605.41619,0.00017,840,Th II,4113,5/2,19248,5/2_1,RNS13,Y
6618.167,6e-05,6618.16714,0.00017,870,Th I,14204,5,29310,4_1,RNS13,Y
6619.94581,6e-05,6619.94584,0.00013,1200,Th II,4146,7/2,19248,5/2_1,RNS13,Y
6638.91191,3e-05,6638.91203,8e-05,1800,Th I,11197,5_1,26255,4,RNS13,Y
6662.268497,1.3e-05,6662.268497,1.3e-05,16000,Th I,7502,3,22508,2_1,RNS13,Y
