element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
Ne,7,2287.9,1.5,90bl,,,,
Ne,6,2289.36,0.05,50,,,,
Ne,4,2293.14,0.05,1,1.8e+07,D,,
Ne,4,2293.480,0.020,11,2.6e+08,D,,
Ne,7,2297.3,1.5,180bl*,,,,
Ne,7,2297.3,1.5,180bl*,,,,
Ne,7,2297.3,1.5,180bl*,,,,
Ne,7,2297.3,1.5,180bl*,,,,
Ne,2,2298.455,0.010,22,,,,
Ne,3,2298.957,0.010,20,7.1e+06,C,,
Ne,7,2299.3,1.5,120bl*,,,,
Ne,7,2299.3,1.5,120bl*,,,,
Ne,2,2300.245,0.010,100,,,,
Ne,2,2300.693,0.010,12,,,,
Ne,3,2303.891,0.010,180,2.1e+08,C,,
Ne,2,2304.834,0.010,40,,,,
Ne,3,2304.834,0.010,200,2.9e+08,C,,
Ne,2,2305.350,0.010,60,,,,
Ne,3,2305.459,0.010,160,1.6e+08,C,,
Ne,2,2305.962,0.010,120,,,,
Ne,7,2306.3,1.0,140,,,,
Ne,5,2306.31,0.02,50,5.2e+07,D,,
Ne,3,2306.589,0.010,240,3.9e+08,C,,
Ne,2,2306.626,0.010,12,,,,
Ne,3,2307.233,0.010,160,9.7e+07,C,,
Ne,2,2310.378,0.010,60,,,,
Ne,2,2310.723,0.010,120,,,,
Ne,2,2311.631,0.010,40,,,,
Ne,2,2311.720,0.010,60,,,,
Ne,7,2312.3,1.0,80,,,,
Ne,2,2313.551,0.010,12,,,,
Ne,2,2315.095,0.010,12,,,,
Ne,2,2315.816,0.010,22,,,,
Ne,2,2317.064,0.010,40,,,,
Ne,7,2318.3,1.5,30,,,,
Ne,2,2318.465,0.010,40,,,,
Ne,3,2320.84,0.10,30w,7.3e+07,D,,
Ne,2,2322.175,0.010,12,,,,
Ne,2,2324.165,0.010,12,,,,
Ne,2,2329.288,0.010,60,,,,
Ne,8,2333.9,3.0,60bl,,,,
Ne,2,2339.745,0.010,80,,,,
Ne,2,2340.060,0.010,22,,,,
Ne,3,2341.86,0.10,10w,1.7e+07,D,,
Ne,4,2350.840,0.020,6,1.0e+08,D,,
Ne,7,2352.3,2.0,500bl,,,,
Ne,4,2352.554,0.008,16,1.7e+08,D,,
Ne,4,2357.980,0.008,36,2.5e+08,D,,
Ne,2,2358.04,0.02,22,,,,
Ne,2,2362.12,0.02,10,,,,
Ne,4,2362.680,0.010,6,2.0e+08,D,,
Ne,3,2362.8647,0.0010,300,7.9e+07,C,,
Ne,3,2363.2310,0.0010,400,2.5e+08,C,,
Ne,2,2364.976,0.010,100,,,,
Ne,2,2365.1502,0.0015,140,,,,
Ne,3,2365.3821,0.0010,260,8.7e+07,C,,
Ne,3,2365.4188,0.0010,280,1.1e+08,C,,
Ne,6,2365.49,0.02,200bl?,8.9e+07,C,,
Ne,3,2365.749,0.010,300,1.4e+08,C,,
Ne,3,2367.0409,0.0010,300,3.3e+08,C,,
Ne,4,2371.30,0.03,2i,,,,
Ne,4,2372.160,0.020,9,1.3e+08,D,,
Ne,4,2373.208,0.016,19,2.8e+08,D,,
Ne,4,2373.32,0.03,7bl,2.2e+08,D,,
Ne,2,2374.816,0.010,80*,,,,
Ne,2,2374.816,0.010,80*,,,,
Ne,2,2375.489,0.010,80,,,,
Ne,2,2380.367,0.010,22,,,,
Ne,4,2384.20,0.05,1,4.0e+07,D,,
Ne,4,2384.960,0.020,7,7.2e+07,D,,
Ne,2,2387.039,0.010,12,,,,
Ne,2,2387.104,0.010,12,,,,
Ne,3,2390.66,0.10,160w*,2.6e+05,D,,
Ne,3,2390.66,0.10,160w*,9.8e+06,D,,
Ne,3,2390.66,0.10,160w*,,,,
Ne,3,2390.66,0.10,160w*,1.2e+07,D,,
Ne,3,2390.66,0.10,160w*,4.2e+07,D,,
Ne,3,2392.40,0.10,100w*,5.5e+07,D,,
Ne,3,2392.40,0.10,100w*,5.2e+07,D,,
Ne,3,2392.40,0.10,100w*,5.1e+07,D,,
Ne,2,2393.68,0.03,3,,,,
Ne,2,2396.02,0.02,9,,,,
Ne,3,2397.955,0.010,180,5.2e+07,C,,
Ne,3,2400.553,0.010,240,1.5e+08,C,,
Ne,3,2402.421,0.010,140,6.6e+07,C,,
Ne,3,2404.129,0.010,100,4.8e+07,C,,
Ne,2,2404.391,0.010,40,,,,
Ne,4,2405.11,0.03,1,1.2e+07,D,,
Ne,8,2405.3,2.0,80,5.28e+07,A,,
Ne,2,2406.578,0.010,40,,,,
Ne,3,2406.738,0.010,160,8.5e+07,C,,
Ne,3,2407.000,0.010,140,2.0e+08,C,,
Ne,2,2407.29,0.02,4,,,,
Ne,7,2411.3,1.0,90,,,,
Ne,3,2412.8177,0.0010,1000,4.8e+08,C,,
Ne,3,2412.923,0.010,800,3.6e+08,C,,
Ne,3,2413.193,0.010,300,2.0e+08,C,,
Ne,3,2413.558,0.010,400,1.2e+08,C,,
Ne,3,2413.781,0.010,600,2.6e+08,C,,
Ne,4,2413.83,0.03,3,4.3e+07,D,,
Ne,2,2415.263,0.010,100,,,,
Ne,2,2416.498,0.010,22,,,,
Ne,2,2417.3389,0.0012,120,,,,
Ne,2,2417.743,0.010,80,,,,
Ne,3,2418.078,0.010,160,4.1e+05,C,,
Ne,2,2419.901,0.010,80,,,,
Ne,4,2421.825,0.011,*,2.7e-04,D,E2,
Ne,4,2421.825,0.011,*,5.2e-03,C,M1,
Ne,3,2421.849,0.010,180,,,,
Ne,2,2422.135,0.010,22,,,,
Ne,2,2422.9695,0.0024,120,,,,
Ne,2,2423.445,0.010,140,,,,
Ne,3,2423.586,0.010,160,,,,
Ne,4,2424.403,0.013,*,5.8e-04,D,M1+E2,
Ne,2,2424.554,0.010,60,,,,
Ne,3,2425.619,0.010,220,,,,
Ne,3,2426.849,0.010,240,,,,
Ne,3,2428.276,0.010,160,,,,
Ne,2,2428.451,0.010,120,,,,
Ne,2,2428.707,0.010,120,,,,
Ne,2,2429.312,0.020,60w,,,,
Ne,2,2429.773,0.010,60,,,,
Ne,2,2430.018,0.010,120,,,,
Ne,2,2430.164,0.010,120,,,,
Ne,2,2430.966,0.010,12,,,,
Ne,2,2432.096,0.010,80,,,,
Ne,2,2433.472,0.010,80,,,,
