element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Hg,2,2806.3554,0.0007,,,600000.0,,N
Hg,1,2806.773,0.002,,,24.0,,Y
Hg,2,2809.417,0.002,,,12000.0,,N
Hg,1,2810.72,0.06,,,-792.0,d,Y
Hg,2,2814.9126,0.0005,,,3200.0,c,N
Hg,2,2817.803,0.002,,,5600.0,,N
Hg,2,2826.572,0.003,,,240.0,,N
Hg,2,2826.911,0.002,,,960.0,,N
Hg,2,2828.841,0.003,,,320.0,,N
Hg,2,2829.495,0.002,,,1600.0,,N
Hg,2,2835.654,0.002,,,280.0,,N
Hg,2,2839.005,0.007,,,80.0,,N
Hg,3,2844.76,0.1,,,24.0,,N
Hg,2,2847.675,0.001,,,28000000.0,,N
Hg,2,2852.387,0.002,,,20000.0,,N
Hg,1,2856.935,0.002,D+,,160.0,,Y
Hg,2,2873.2,0.002,,,40000.0,,N
Hg,2,2882.228,0.002,,,800.0,,N
Hg,2,2882.594,0.002,,,5600.0,,N
Hg,2,2892.559,0.003,,,120.0,h,N
Hg,1,2893.601,0.001,B+,,6400.0,,Y
Hg,2,2902.646,0.002,,,5600.0,,N
Hg,2,2904.044,0.002,,,1600.0,,N
Hg,2,2909.334,0.004,,,4000.0,,N
Hg,2,2916.2498,0.0003,,,2400000.0,E,N
Hg,1,2925.414,0.002,D,,560.0,,Y
Hg,2,2935.903,0.004,,,240000.0,,N
Hg,2,2939.026,0.004,,,20000.0,,N
Hg,2,2940.537,0.004,,,16000.0,,N
Hg,2,2947.074,0.004,,,2000000.0,,N
Hg,2,2955.125,0.004,,,12000.0,,N
Hg,2,2963.183,0.004,,,5600.0,,N
Hg,2,2965.1,0.004,,,80.0,c,N
Hg,2,2966.36,0.004,,,120.0,,N
Hg,1,2967.283,0.001,D,,24000.0,,Y
Hg,1,2967.52,0.1,,,8.0,,Y
Hg,2,2974.073,0.004,,,960.0,,N
Hg,2,2975.118,0.004,,,9600.0,h,N
Hg,2,2980.554,0.004,,,800.0,h,N
