element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Ne,2,2236.251,0.01,,,60.0,,N
Ne,5,2236.29,0.02,D,,50.0,,N
Ne,2,2242.232,0.01,,,12.0,,N
Ne,4,2245.1,0.03,,,3.0,,N
Ne,5,2245.48,0.02,D,,70.0,,N
Ne,4,2247.28,0.03,,,4.0,,N
Ne,6,2247.76,0.02,,,110.0,,N
Ne,2,2252.701,0.01,,,12.0,,N
Ne,2,2252.805,0.01,,,100.0,,N
Ne,6,2253.2,0.02,,,230.0,,N
Ne,5,2256.05,0.02,D,,30.0,,N
Ne,2,2256.398,0.01,,,12.0,,N
Ne,2,2256.812,0.01,,,40.0,,N
Ne,2,2256.902,0.01,,,40.0,,N
Ne,4,2258.02,0.02,D,,18.0,,N
Ne,5,2259.57,0.02,D,,200.0,,N
Ne,4,2262.08,0.02,D,,12.0,,N
Ne,3,2262.11,0.1,C,,140.0,bl,N
Ne,3,2263.1661,0.001,C,,360.0,,N
Ne,5,2263.39,0.02,D,,70.0,,N
Ne,3,2264.047,0.01,C,,120.0,,N
Ne,4,2264.54,0.02,D,,8.0,,N
Ne,3,2264.832,0.01,C,,320.0,,N
Ne,5,2265.71,0.05,D,,400.0,bl,N
Ne,3,2265.904,0.01,C,,140.0,,N
Ne,3,2266.0839,0.001,C,,300.0,,N
Ne,3,2266.88,0.1,C,,140.0,bl,N
Ne,3,2270.52,0.01,D,,20.0,,N
Ne,2,2272.626,0.01,,,12.0,,N
Ne,3,2273.5826,0.001,C,,800.0,,N
Ne,5,2274.54,0.05,D,,10.0,,N
Ne,3,2278.951,0.01,C,,240.0,,N
Ne,5,2282.61,0.05,D,,100.0,,N
Ne,3,2283.83,0.1,C,,70.0,bl*,N
Ne,3,2283.83,0.1,,,70.0,bl*,N
Ne,4,2285.793,0.008,D,,24.0,,N
Ne,7,2287.9,1.5,,,90.0,bl,N
Ne,6,2289.36,0.05,,,50.0,,N
Ne,4,2293.14,0.05,D,,1.0,,N
Ne,4,2293.48,0.02,D,,11.0,,N
Ne,7,2297.3,1.5,,,180.0,bl*,N
Ne,7,2297.3,1.5,,,180.0,bl*,N
Ne,7,2297.3,1.5,,,180.0,bl*,N
Ne,7,2297.3,1.5,,,180.0,bl*,N
Ne,2,2298.455,0.01,,,22.0,,N
Ne,3,2298.957,0.01,C,,20.0,,N
Ne,7,2299.3,1.5,,,120.0,bl*,N
Ne,7,2299.3,1.5,,,120.0,bl*,N
Ne,2,2300.245,0.01,,,100.0,,N
Ne,2,2300.693,0.01,,,12.0,,N
Ne,3,2303.891,0.01,C,,180.0,,N
Ne,2,2304.834,0.01,,,40.0,,N
Ne,3,2304.834,0.01,C,,200.0,,N
Ne,2,2305.35,0.01,,,60.0,,N
Ne,3,2305.459,0.01,C,,160.0,,N
Ne,2,2305.962,0.01,,,120.0,,N
Ne,7,2306.3,1.0,,,140.0,,N
Ne,5,2306.31,0.02,D,,50.0,,N
Ne,3,2306.589,0.01,C,,240.0,,N
Ne,2,2306.626,0.01,,,12.0,,N
Ne,3,2307.233,0.01,C,,160.0,,N
Ne,2,2310.378,0.01,,,60.0,,N
Ne,2,2310.723,0.01,,,120.0,,N
Ne,2,2311.631,0.01,,,40.0,,N
Ne,2,2311.72,0.01,,,60.0,,N
Ne,7,2312.3,1.0,,,80.0,,N
Ne,2,2313.551,0.01,,,12.0,,N
Ne,2,2315.095,0.01,,,12.0,,N
Ne,2,2315.816,0.01,,,22.0,,N
Ne,2,2317.064,0.01,,,40.0,,N
Ne,7,2318.3,1.5,,,30.0,,N
Ne,2,2318.465,0.01,,,40.0,,N
Ne,3,2320.84,0.1,D,,30.0,w,N
Ne,2,2322.175,0.01,,,12.0,,N
Ne,2,2324.165,0.01,,,12.0,,N
Ne,2,2329.288,0.01,,,60.0,,N
Ne,8,2333.9,3.0,,,60.0,bl,N
Ne,2,2339.745,0.01,,,80.0,,N
Ne,2,2340.06,0.01,,,22.0,,N
Ne,3,2341.86,0.1,D,,10.0,w,N
Ne,4,2350.84,0.02,D,,6.0,,N
Ne,7,2352.3,2.0,,,500.0,bl,N
Ne,4,2352.554,0.008,D,,16.0,,N
Ne,4,2357.98,0.008,D,,36.0,,N
Ne,2,2358.04,0.02,,,22.0,,N
Ne,2,2362.12,0.02,,,10.0,,N
Ne,4,2362.68,0.01,D,,6.0,,N
Ne,3,2362.8647,0.001,C,,300.0,,N
Ne,3,2363.231,0.001,C,,400.0,,N
Ne,2,2364.976,0.01,,,100.0,,N
Ne,2,2365.1502,0.0015,,,140.0,,N
Ne,3,2365.3821,0.001,C,,260.0,,N
Ne,3,2365.4188,0.001,C,,280.0,,N
Ne,6,2365.49,0.02,C,,200.0,bl?,N
Ne,3,2365.749,0.01,C,,300.0,,N
Ne,3,2367.0409,0.001,C,,300.0,,N
Ne,4,2371.3,0.03,,,2.0,i,N
Ne,4,2372.16,0.02,D,,9.0,,N
Ne,4,2373.208,0.016,D,,19.0,,N
Ne,4,2373.32,0.03,D,,7.0,bl,N
Ne,2,2374.816,0.01,,,80.0,*,N
Ne,2,2374.816,0.01,,,80.0,*,N
Ne,2,2375.489,0.01,,,80.0,,N
Ne,2,2380.367,0.01,,,22.0,,N
Ne,4,2384.2,0.05,D,,1.0,,N
Ne,4,2384.96,0.02,D,,7.0,,N
Ne,2,2387.039,0.01,,,12.0,,N
Ne,2,2387.104,0.01,,,12.0,,N
Ne,3,2390.66,0.1,D,,160.0,w*,N
Ne,3,2390.66,0.1,D,,160.0,w*,N
Ne,3,2390.66,0.1,,,160.0,w*,N
Ne,3,2390.66,0.1,D,,160.0,w*,N
Ne,3,2390.66,0.1,D,,160.0,w*,N
Ne,3,2392.4,0.1,D,,100.0,w*,N
Ne,3,2392.4,0.1,D,,100.0,w*,N
Ne,3,2392.4,0.1,D,,100.0,w*,N
Ne,2,2393.68,0.03,,,3.0,,N
Ne,2,2396.02,0.02,,,9.0,,N
Ne,3,2397.955,0.01,C,,180.0,,N
Ne,3,2400.553,0.01,C,,240.0,,N
Ne,3,2402.421,0.01,C,,140.0,,N
Ne,3,2404.129,0.01,C,,100.0,,N
Ne,2,2404.391,0.01,,,40.0,,N
Ne,4,2405.11,0.03,D,,1.0,,N
Ne,8,2405.3,2.0,A,,80.0,,N
Ne,2,2406.578,0.01,,,40.0,,N
Ne,3,2406.738,0.01,C,,160.0,,N
Ne,3,2407.0,0.01,C,,140.0,,N
Ne,2,2407.29,0.02,,,4.0,,N
Ne,7,2411.3,1.0,,,90.0,,N
Ne,3,2412.8177,0.001,C,,1000.0,,N
Ne,3,2412.923,0.01,C,,800.0,,N
Ne,3,2413.193,0.01,C,,300.0,,N
Ne,3,2413.558,0.01,C,,400.0,,N
Ne,3,2413.781,0.01,C,,600.0,,N
Ne,4,2413.83,0.03,D,,3.0,,N
Ne,2,2415.263,0.01,,,100.0,,N
Ne,2,2416.498,0.01,,,22.0,,N
Ne,2,2417.3389,0.0012,,,120.0,,N
Ne,2,2417.743,0.01,,,80.0,,N
Ne,3,2418.078,0.01,C,,160.0,,N
Ne,2,2419.901,0.01,,,80.0,,N
Ne,4,2421.825,0.011,D,,-99.0,*,N
Ne,4,2421.825,0.011,C,,-99.0,*,N
Ne,3,2421.849,0.01,,,180.0,,N
Ne,2,2422.135,0.01,,,22.0,,N
Ne,2,2422.9695,0.0024,,,120.0,,N
Ne,2,2423.445,0.01,,,140.0,,N
Ne,3,2423.586,0.01,,,160.0,,N
Ne,4,2424.403,0.013,D,,-99.0,*,N
Ne,2,2424.554,0.01,,,60.0,,N
Ne,3,2425.619,0.01,,,220.0,,N
Ne,3,2426.849,0.01,,,240.0,,N
Ne,3,2428.276,0.01,,,160.0,,N
Ne,2,2428.451,0.01,,,120.0,,N
Ne,2,2428.707,0.01,,,120.0,,N
Ne,2,2429.312,0.02,,,60.0,w,N
Ne,2,2429.773,0.01,,,60.0,,N
Ne,2,2430.018,0.01,,,120.0,,N
Ne,2,2430.164,0.01,,,120.0,,N
Ne,2,2430.966,0.01,,,12.0,,N
Ne,2,2432.096,0.01,,,80.0,,N
Ne,2,2433.472,0.01,,,80.0,,N
Ne,3,2433.601,0.01,C,,300.0,,N
Ne,2,2434.611,0.02,,,80.0,bl,N
Ne,2,2434.636,0.02,,,40.0,bl,N
Ne,2,2435.646,0.01,,,120.0,,N
Ne,2,2436.472,0.01,,,22.0,,N
Ne,2,2436.769,0.01,,,12.0,,N
Ne,2,2439.119,0.01,,,100.0,,N
Ne,3,2439.294,0.01,C,,240.0,,N
Ne,2,2440.635,0.01,,,22.0,,N
Ne,2,2441.437,0.01,,,100.0,,N
Ne,3,2441.83,0.01,C,,220.0,,N
Ne,2,2442.155,0.01,,,40.0,,N
Ne,2,2444.304,0.01,,,22.0,,N
Ne,2,2445.137,0.01,,,40.0,,N
Ne,3,2454.926,0.01,C,,300.0,,N
Ne,2,2455.149,0.01,,,40.0,,N
Ne,2,2455.796,0.01,,,12.0,,N
Ne,2,2455.987,0.01,,,40.0,,N
Ne,3,2457.519,0.01,C,,240.0,,N
Ne,2,2458.348,0.01,,,80.0,,N
Ne,2,2458.94,0.02,,,14.0,,N
Ne,3,2460.725,0.01,D,,180.0,,N
Ne,2,2461.241,0.01,,,100.0,,N
Ne,3,2462.287,0.01,C,,360.0,,N
Ne,3,2463.315,0.01,C,,220.0,,N
Ne,3,2468.125,0.01,C,,240.0,,N
Ne,2,2469.192,0.01,,,12.0,,N
Ne,2,2470.002,0.01,,,40.0,,N
Ne,3,2471.828,0.01,,,220.0,,N
Ne,3,2473.3862,0.001,C,,600.0,,N
Ne,2,2477.544,0.01,,,80.0,,N
Ne,2,2478.239,0.01,,,22.0,,N
Ne,2,2478.726,0.01,,,12.0,,N
Ne,7,2485.2,1.0,,,70.0,,N
Ne,4,2485.9,1.5,,,11.0,i*,N
Ne,4,2485.9,1.5,,,11.0,i*,N
Ne,4,2485.9,1.5,,,11.0,i*,N
Ne,4,2485.9,1.5,,,11.0,i*,N
Ne,4,2485.9,1.5,,,11.0,i*,N
Ne,8,2489.2,1.5,A,,25.0,*,N
Ne,8,2489.2,1.5,A,,25.0,*,N
Ne,3,2492.91,0.1,,,20.0,w,N
Ne,3,2494.778,0.01,C,,30.0,,N
Ne,4,2504.9,1.5,,,9.0,i*,N
Ne,4,2504.9,1.5,,,9.0,i*,N
Ne,4,2504.9,1.5,,,9.0,i*,N
Ne,4,2504.9,1.5,,,9.0,i*,N
Ne,4,2504.9,1.5,,,9.0,i*,N
Ne,4,2504.9,1.5,,,9.0,i*,N
Ne,3,2507.037,0.01,C,,360.0,,N
Ne,4,2510.4,1.5,,,6.0,i*,N
Ne,4,2510.4,1.5,,,6.0,i*,N
Ne,7,2513.2,1.0,,,340.0,,N
Ne,2,2513.643,0.01,,,120.0,,N
Ne,7,2516.2,1.0,,,800.0,*,N
Ne,7,2516.2,1.0,,,800.0,*,N
Ne,2,2518.106,0.01,,,40.0,,N
Ne,2,2518.316,0.01,,,22.0,,N
Ne,2,2518.877,0.01,,,12.0,,N
Ne,2,2519.726,0.02,,,100.0,?bl,N
Ne,2,2519.752,0.02,,,140.0,bl,N
Ne,4,2520.5,1.5,,,6.0,i*,N
Ne,4,2520.5,1.5,,,6.0,i*,N
Ne,4,2520.5,1.5,,,6.0,i*,N
Ne,4,2520.5,1.5,,,6.0,i*,N
Ne,3,2522.025,0.01,C,,20.0,,N
Ne,7,2522.2,1.0,,,400.0,*,N
Ne,7,2522.2,1.0,,,400.0,*,N
Ne,2,2523.467,0.01,,,80.0,,N
Ne,2,2524.87,0.01,,,60.0,,N
Ne,7,2525.0,2.0,,,-99.0,m,N
Ne,2,2530.228,0.01,,,22.0,,N
Ne,8,2531.2,2.0,A,,330.0,bl*,N
Ne,8,2531.2,2.0,A,,330.0,bl*,N
Ne,8,2531.2,2.0,A,,330.0,bl*,N
Ne,8,2531.2,2.0,,,330.0,bl*,N
Ne,8,2531.2,2.0,,,330.0,bl*,N
Ne,2,2532.153,0.02,,,120.0,bl,N
Ne,2,2532.189,0.02,,,100.0,bl,N
Ne,2,2538.51,0.01,,,120.0,,N
Ne,8,2549.2,1.5,A,,130.0,i*,N
Ne,8,2549.2,1.5,A,,130.0,i*,N
Ne,6,2553.7,0.3,,,50.0,*,N
Ne,6,2553.7,0.3,,,50.0,*,N
Ne,7,2554.2,1.0,,,100.0,,N
Ne,6,2556.61,0.03,,,60.0,,N
Ne,7,2557.2,1.0,,,120.0,,N
Ne,2,2560.541,0.01,,,40.0,,N
Ne,1,2561.79,0.02,,,80.0,,Y
Ne,2,2561.801,0.01,,,140.0,,N
Ne,2,2562.062,0.02,,,140.0,?bl,N
Ne,2,2562.123,0.0006,,,160.0,bl,N
Ne,8,2562.2,1.5,,,50.0,,N
Ne,2,2564.423,0.01,,,22.0,,N
Ne,2,2565.858,0.01,,,140.0,,N
Ne,2,2567.124,0.009,,,180.0,w*,N
Ne,2,2567.124,0.009,,,180.0,w*,N
Ne,2,2567.3816,0.0011,,,140.0,,N
Ne,6,2568.56,0.03,,,140.0,,N
Ne,8,2570.2,3.0,A,,120.0,bli*,N
Ne,8,2570.2,3.0,A,,120.0,bli*,N
Ne,7,2570.2,2.0,,,120.0,bl,N
Ne,2,2571.442,0.02,,,80.0,bl,N
Ne,2,2571.464,0.02,,,100.0,bl,N
Ne,2,2572.9,0.01,,,140.0,,N
Ne,2,2574.1299,0.0011,,,140.0,,N
Ne,1,2574.55,0.02,,,80.0,*,Y
Ne,1,2574.55,0.02,,,80.0,*,Y
Ne,2,2577.943,0.02,,,40.0,bl,N
Ne,2,2577.963,0.02,,,60.0,bl,N
Ne,2,2579.405,0.01,,,100.0,,N
Ne,7,2582.6,1.5,,,40.0,*,N
Ne,7,2582.6,1.5,,,40.0,*,N
Ne,2,2587.886,0.01,,,80.0,,N
Ne,2,2587.96,0.01,,,100.0,,N
Ne,1,2589.48,0.02,,,20.0,,Y
Ne,3,2589.9971,0.001,C,,3000.0,,N
Ne,1,2590.67,0.02,,,100.0,*,Y
Ne,1,2590.67,0.02,,,100.0,*,Y
Ne,1,2591.15,0.02,,,30.0,,Y
Ne,7,2591.7,1.5,,,30.0,?,N
Ne,3,2593.5552,0.001,C,,2500.0,,N
Ne,1,2594.56,0.02,,,20.0,,Y
Ne,1,2595.21,0.02,,,500.0,,Y
Ne,3,2595.6498,0.001,C,,2000.0,,N
Ne,7,2597.2,1.0,,,60.0,,N
Ne,3,2597.2665,0.001,D,,120.0,,N
Ne,7,2604.2,1.0,,,40.0,,N
Ne,2,2606.006,0.01,,,100.0,,N
