element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Xe,3,2204.2,0.01,,,2.0,,N
Xe,3,2204.333,0.05,,,5.0,,N
Xe,3,2205.51,0.01,,,2.0,,N
Xe,2,2208.24,0.1,,,3.0,,N
Xe,4,2208.56,0.01,,,7.0,,N
Xe,3,2210.42,0.05,,,9.0,,N
Xe,4,2212.08,0.01,,,3.0,,N
Xe,4,2213.13,0.01,,,9.0,,N
Xe,3,2213.799,0.05,,,0.0,,N
Xe,2,2214.37,0.1,,,3.0,,N
Xe,3,2214.382,0.05,,,9.0,*,N
Xe,3,2214.382,0.05,,,9.0,*,N
Xe,2,2215.58,0.1,,,2.0,,N
Xe,4,2219.22,0.01,,,3.0,,N
Xe,4,2220.34,0.01,,,12.0,,N
Xe,3,2220.544,0.05,,,2.0,,N
Xe,2,2222.76,0.1,,,3.0,,N
Xe,3,2223.64,0.05,,,5.0,,N
Xe,2,2224.29,0.1,,,0.0,*,N
Xe,2,2224.29,0.1,,,0.0,*,N
Xe,2,2224.59,0.1,,,2.0,,N
Xe,3,2225.071,0.05,,,9.0,,N
Xe,2,2225.99,0.1,,,2.0,,N
Xe,3,2227.588,0.05,,,3.0,,N
Xe,5,2228.33,0.01,,,3.0,,N
Xe,4,2229.91,0.01,,,8.0,,N
Xe,3,2230.419,0.05,,,6.0,*,N
Xe,3,2230.419,0.05,,,6.0,*,N
Xe,2,2230.79,0.1,,,1.0,h,N
Xe,3,2231.673,0.05,,,7.0,,N
Xe,2,2232.83,0.1,,,2.0,,N
Xe,8,2233.5,0.6,,,-99.0,--,N
Xe,2,2234.99,0.1,,,1.0,,N
Xe,8,2235.1,0.5,,,-99.0,--,N
Xe,3,2235.349,0.05,,,2.0,,N
Xe,2,2235.52,0.1,,,2.0,,N
Xe,2,2239.79,0.1,,,1.0,,N
Xe,4,2240.12,0.01,,,10.0,,N
Xe,4,2240.34,0.01,,,9.0,,N
Xe,2,2241.86,0.1,,,2.0,h,N
