obs_wl_air(A),unc_obs_wl,intensity,Use
4920.09941,0.001,8060.910893,Y
4927.47445,0.001,3684.374364,Y
4939.23233,0.001,8034.182658,Y
4945.3537,0.001,8597.90215,N
4954.52226,0.001,1328.60686,N
4964.65457,0.001,3221.535466,N
4968.97842,0.001,3001.328619,N
4985.43105,0.001,4542.59409,Y
4993.73485,0.001,1441.982079,N
5002.21459,0.001,9071.316606,Y
5010.15048,0.001,1372.143224,Y
5017.27559,0.001,12177.14505,Y
5028.81652,0.001,8989.705802,Y
5039.39071,0.001,6562.408475,N
5044.93724,0.001,12781.11626,N
5050.30581,0.001,6919.599943,N
5059.59634,0.001,4280.995817,N
5067.54522,0.001,18486.80501,N
5074.82529,0.001,571.1444982,N
5084.87661,0.001,3097.34072,N
5090.51511,0.001,2164.710773,N
5096.03165,0.001,4741.70744,N
5100.50146,0.001,5141.762019,N
5115.05158,0.001,7455.717946,N
5126.00767,0.001,2622.114036,N
5134.78833,0.001,2908.758235,N
5143.84992,0.001,4762.517002,N
5153.61532,0.001,9654.268174,N
5158.74595,0.001,17439.75927,Y
5176.73616,0.001,8267.920191,N
5186.64253,0.001,3130.361354,N
5198.97524,0.001,14402.56486,Y
5211.33595,0.001,8885.306858,N
5219.16486,0.001,5648.80608,N
5231.19866,0.001,15799.87449,Y
5239.27351,0.001,4758.010325,N
5247.59729,0.001,2906.097802,N
5258.52238,0.001,10423.14117,Y
5266.74119,0.001,4827.914579,N
5273.78431,0.001,3393.632825,N
5281.00539,0.001,1930.624494,N
5297.62696,0.001,6400.154406,Y
5312.24606,0.001,13614.98809,Y
5317.60063,0.001,2113.357804,N
5326.57724,0.001,6650.175346,N
5343.54271,0.001,11409.28315,Y
5351.24266,0.001,2308.746328,N
5360.35823,0.001,3652.487744,N
5369.79271,0.001,2413.140075,N
5376.10903,0.001,8265.953021,N
5386.77918,0.001,5790.597044,N
5390.4332,0.001,4487.433837,N
5394.48212,0.001,5597.687227,N
5398.95093,0.001,5384.4417,N
5407.89455,0.001,5688.393035,N
5417.34502,0.001,13267.27966,Y
5424.40914,0.001,3957.755236,N
5431.39427,0.001,3858.867578,N
5440.6788,0.001,1691.02993,N
5447.26804,0.001,7399.279274,N
5452.02377,0.001,4381.631674,N
5458.94292,0.001,2160.586181,N
5463.55969,0.001,2702.044585,N
5470.77576,0.001,1822.369475,N
5474.59374,0.001,1179.791723,N
5479.17752,0.001,915.418888,N
5484.1112,0.001,1331.313221,N
5493.21577,0.001,5500.127747,N
5499.29914,0.001,12236.65835,N
5504.15285,0.001,3350.73136,N
5509.85233,0.001,6370.777098,Y
5514.83999,0.001,3710.966696,N
5519.40677,0.001,1274.525009,N
5524.57239,0.001,2155.903553,N
5532.85118,0.001,989.5361056,N
5539.30946,0.001,17012.65987,Y
5548.1411,0.001,5735.822309,N
5558.01946,0.001,12183.35528,Y
5564.42575,0.001,1230.838882,N
5572.79051,0.001,15580.85359,Y
5579.38475,0.001,6272.351658,N
5587.01771,0.001,20535.27684,Y
5594.99858,0.001,6502.170029,N
5601.52683,0.001,6151.18525,N
5610.70238,0.001,8023.68068,N
5615.29115,0.001,8286.031188,N
5625.08853,0.001,718.4823804,N
5632.87545,0.001,1860.922471,N
5640.08053,0.001,3880.4027,Y
5646.04093,0.001,3237.979179,N
5657.84978,0.001,2376.330924,N
5665.27679,0.001,6146.218938,Y
5676.4518,0.001,2728.911621,N
5685.33143,0.001,1331.152722,N
5690.677,0.001,904.9332092,N
5700.7413,0.001,4106.846468,Y
5707.05162,0.001,3272.575058,Y
5720.09313,0.001,36735.07506,Y
5725.22076,0.001,7128.235108,N
5733.38057,0.001,1441.879544,N
5741.66136,0.001,3297.929364,N
5749.09937,0.001,6048.929046,N
5752.81037,0.001,5086.763371,N
5760.5823,0.001,53000,Y
5768.12228,0.001,3195.682908,N
5773.92472,0.001,2192.552471,N
5781.76663,0.001,1403.678568,N
5790.19437,0.001,4173.304288,N
5804.07566,0.001,19006.05082,Y
5813.88803,0.001,1950.092957,N
5819.38156,0.001,1450.596875,N
5825.52791,0.001,962.7238839,N
5831.90021,0.001,2208.286694,N
5840.124,0.001,2062.270287,N
5853.29148,0.001,5915.506258,Y
5859.71676,0.001,1855.485877,N
5863.51474,0.001,1618.06429,N
5870.56985,0.001,2625.644024,N
5878.73367,0.001,604.2675284,N
5885.63182,0.001,6590.320141,N
5891.59122,0.001,3916.550822,N
5899.81002,0.001,1735.066184,N
5905.56948,0.001,3029.949911,N
5908.88559,0.001,3406.959122,N
5914.66204,0.001,8130.06897,N
5925.90803,0.001,6574.50789,N
5938.50966,0.001,11066.16327,Y
5944.48106,0.001,3717.790598,N
5949.33076,0.001,1473.938621,N
5956.06295,0.001,1351.653654,N
5961.02462,0.001,1359.04974,N
5974.01914,0.001,21974.41931,Y
5982.25593,0.001,762.0210508,N
5994.05077,0.001,13630.14399,N
6001.17086,0.001,3175.536492,N
6006.89133,0.001,5814.585881,N
6021.05354,0.001,6305.694472,N
6030.86591,0.001,2791.044577,N
6037.78505,0.001,9100.544314,N
6043.63248,0.001,1646.685026,Y
6049.16,0.001,6163.34335,N
6061.91958,0.001,781.0348888,N
6069.04267,0.001,1381.857774,N
6072.60372,0.001,1294.88203,N
6078.28919,0.001,6399.745094,N
6087.60569,0.001,6540.79548,N
6102.58168,0.001,7732.32393,N
6114.24655,0.001,2478.077636,Y
6120.7758,0.001,3338.958102,N
6129.27352,0.001,1327.525927,N
6138.39107,0.001,965.2311991,N
6145.09827,0.001,681.1804634,N
6152.18637,0.001,11301.31129,Y
6162.98947,0.001,9020.654313,N
6169.83764,0.001,18080.14464,N
6182.59421,0.001,39549.86428,Y
6188.21571,0.001,6671.18598,N
6191.82774,0.001,6461.550182,N
6198.22702,0.001,9456.099844,N
6203.60458,0.001,16554.08626,N
6212.71113,0.001,1046.387086,N
6224.73291,0.001,9136.83482,Y
6234.60126,0.001,3719.75154,N
6242.59911,0.001,2715.291891,N
6261.32609,0.001,9653.160614,Y
6274.39558,0.001,2630.169086,N
6286.37936,0.001,1236.241469,N
6292.1788,0.001,3571.900991,N
6301.86121,0.001,2155.983012,N
6311.12272,0.001,1616.9162,N
6316.27234,0.001,1396.851356,N
6326.97046,0.001,9645.860849,Y
6336.64387,0.001,2936.142011,N
6342.8502,0.001,14958.82941,Y
6348.57766,0.001,2881.225667,N
6355.92269,0.001,3385.294472,N
6371.8964,0.001,3709.198176,N
6376.95004,0.001,7136.493928,N
6388.00007,0.001,3660.475678,N
6396.87569,0.001,1086.517472,N
6406.54709,0.001,2927.113641,N
6412.1226,0.001,12358.5511,N
6422.64877,0.001,673.6191565,N
6438.75944,0.001,12165.61497,N
6450.32833,0.001,1771.994534,N
6457.28346,0.001,43516.28278,Y
6462.46807,0.001,5753.395661,N
6471.33669,0.001,539.3702122,N
6474.6208,0.001,668.3798394,N
6483.28548,0.001,593.8526753,N
6490.84345,0.001,5885.176066,Y
6501.52058,0.001,1447.834112,N
6512.15672,0.001,4585.29879,Y
6522.09405,0.001,1321.67224,N
6531.30857,0.001,17339.73521,Y
6537.68786,0.001,714.8834966,N
6545.67571,0.001,684.3705409,N
6554.09944,0.001,6587.948702,Y
6559.19907,0.001,1926.321127,N
6564.54664,0.001,1004.147791,N
6569.65626,0.001,606.4777506,N
6577.21323,0.001,6814.809521,N
6583.95742,0.001,33585.04953,N
6588.97007,0.001,29287.39038,N
6599.52323,0.001,6167.37751,N
6605.05875,0.001,1290.850475,Y
6613.57646,0.001,1255.20871,N
6618.69808,0.001,2292.775286,N
6626.65094,0.001,75.35066501,N
6633.36014,0.001,328.8533251,N
6638.88365,0.001,2210.51371,N
6644.73508,0.001,2983.869828,N
6662.27136,0.001,16232.7553,Y
6668.8116,0.001,878.8863532,N
6674.65303,0.001,3531.757653,N
6683.58763,0.001,1940.71504,N
6697.27795,0.001,1991.32641,N
6704.10511,0.001,544.7704297,N
6713.68553,0.001,2121.511801,N
6718.6262,0.001,1878.990399,N
6727.5628,0.001,5859.483093,Y
6733.68715,0.001,1573.010522,N
6737.86103,0.001,1076.77252,N
6742.58376,0.001,734.1749053,N
6756.48502,0.001,11164.29857,N
6765.87849,0.001,708.2680748,N
6772.07083,0.001,1102.773023,N
6779.82674,0.001,9620.78294,Y
6788.77833,0.001,3624.006339,N
6798.62968,0.001,656.7476483,N
6801.8948,0.001,632.3397067,N
6809.60873,0.001,1680.389822,N
6828.6556,0.001,5256.183172,N
6834.92691,0.001,10082.01155,Y
6846.43182,0.001,559.2939596,N
6854.2767,0.001,1940.46357,N
6867.36518,0.001,2793.038085,N
6874.63323,0.001,3476.085225,N
6887.08287,0.001,1821.200277,N
6901.20407,0.001,907.2276886,N
6911.19538,0.001,25187.92166,Y
6924.98767,0.001,131.9682622,N
6934.64007,0.001,972.2238685,N
6943.65664,0.001,15000.21907,N
6954.38776,0.001,880.3183029,N
6965.40979,0.001,15181.98749,Y
6982.0593,0.001,450.597114,N
6989.65726,0.001,30706.26531,Y
7000.80926,0.001,8366.186807,Y
7018.58447,0.001,9830.19797,Y
7036.31869,0.001,1804.457232,N
7045.71216,0.001,1243.878492,N
7054.06291,0.001,1051.515915,N
7060.45419,0.001,6148.044697,N
7067.19238,0.001,17438.49353,Y
7084.1678,0.001,11892.82316,Y
7100.95928,0.001,561.2248541,Y
7109.82589,0.001,1178.659993,Y
7113.78682,0.001,895.1035642,Y
7124.56892,0.001,8810.026541,Y
7131.10616,0.001,2167.231796,Y
7141.93924,0.001,936.3591083,Y
7149.35524,0.001,5976.066895,Y
7155.0727,0.001,2791.833134,Y
7168.88898,0.001,29971.66832,Y
7191.04101,0.001,1484.461703,Y
7200.21554,0.001,2854.107838,Y
7207.92046,0.001,15584.71252,Y
7218.25468,0.001,9352.08206,Y
7225.47273,0.001,187.9180417,Y
7231.12921,0.001,702.4156431,Y
7243.85078,0.001,3217.401101,Y
7256.92825,0.001,1757.925169,Y
7272.91994,0.001,6616.635956,Y
7284.88872,0.001,4518.639652,Y
7296.98945,0.001,686.6032705,Y
7305.62613,0.001,801.4076858,Y
7309.34012,0.001,800.1657442,Y
7315.19555,0.001,767.2276017,Y
7328.341,0.001,3850.211502,Y
7341.29551,0.001,4094.823222,Y
7352.66944,0.001,728.3727496,Y
7361.32811,0.001,489.0253854,Y
7371.84827,0.001,956.0345217,Y
7376.90091,0.001,1834.380586,Y
7384.47187,0.001,28732.60647,Y
7393.37447,0.001,1198.888816,Y
7402.34905,0.001,2244.207887,Y
7412.05143,0.001,836.944101,Y
7418.37872,0.001,1724.950319,Y
7429.33977,0.001,10682.17496,Y
7438.68225,0.001,386.8478794,Y
7444.89957,0.001,1776.387848,Y
7455.1968,0.001,873.3176293,Y
7461.87399,0.001,3373.275211,Y
7473.25193,0.001,214.5416232,Y
7481.66166,0.001,5390.686203,Y
7488.5608,0.001,1297.243083,Y
7503.88266,0.001,22339.4026,Y
7514.63376,0.001,17060.86141,Y
7525.30988,0.001,2203.675466,Y
7536.97274,0.001,619.1417121,Y
7549.30441,0.001,3488.362538,Y
7556.47048,0.001,376.8123432,Y
7567.75343,0.001,10228.92826,Y
7585.76757,0.001,12219.51464,Y
7598.2552,0.001,1213.727873,Y
7603.11389,0.001,573.5857376,Y
7607.83762,0.001,1609.285468,Y
7620.10631,0.001,769.541571,Y
7626.72252,0.001,4613.598421,Y
7635.18124,0.001,16696.30609,Y
7647.37295,0.001,14841.57908,Y
7653.45931,0.001,3192.746376,Y
7658.95482,0.001,1882.198555,Y
7666.62475,0.001,594.8956381,Y
7677.97269,0.001,2141.552813,Y
7685.23873,0.001,950.1985422,Y
7692.45678,0.001,528.1376737,Y
7699.13398,0.001,1218.113067,Y
7710.27797,0.001,2324.418563,Y
7723.96428,0.001,29905.3846,Y
7742.71222,0.001,783.6475269,Y
7748.14875,0.001,313.4449143,Y
7762.47189,0.001,282.641797,Y
7772.0593,0.001,804.0030979,Y
7782.32853,0.001,1380.784565,Y
7788.82377,0.001,7559.026757,Y
7798.38219,0.001,3319.184687,Y
7808.44048,0.001,1031.452566,Y
7817.76696,0.001,13069.65114,Y
7835.34321,0.001,1416.183601,Y
7841.43757,0.001,3665.130309,Y
7847.6119,0.001,16705.52266,Y
7865.86597,0.001,3954.996919,Y
7872.45219,0.001,1028.693543,Y
7886.26946,0.001,2673.335486,Y
7892.96066,0.001,550.2410034,Y
7900.00175,0.001,2841.982719,Y
7908.07757,0.001,207.3991821,Y
7921.74588,0.001,697.7992966,Y
7937.76256,0.001,1581.510642,Y
7941.78447,0.001,1940.456517,Y
7948.17075,0.001,17768.06584,Y
7954.77696,0.001,1724.400937,Y
7961.52914,0.001,719.3698932,Y
7972.91106,0.001,2978.935921,Y
7978.98043,0.001,26700.8762,Y
7988.08197,0.001,1647.761399,Y
7993.1436,0.001,1243.471688,Y
8006.14709,0.001,17388.87241,Y
8014.78975,0.001,21028.07676,Y
8022.54266,0.001,2055.10301,Y
8032.371,0.001,6647.021052,Y
